run_scope,run_mode,source_sample_n,buildable_run_n,precheck_skipped_n,arm,compiled_success_n,compiled_success_rate,branch_compiled_mean,branch_compiled_median,line_compiled_mean,line_compiled_median,method_compiled_mean,method_compiled_median,mutation_compiled_mean,mutation_compiled_median,branch_strict_zero_fill_mean,mutation_strict_zero_fill_mean,rq3_binomial_p_greater_0_286,rq1_rq2_interpretation,rq1_wilcoxon_p_greater_mutation_44_5,rq2_wilcoxon_p_greater_branch_41_9,rq4_wilcoxon_p_noninferiority_margin_5pp,rq4_median_gpt_minus_evosuite_pp,rq4_vargha_delaney_a12_gpt_vs_evosuite
rbl4_experiment_tool,full_run,24,23,1,evosuite,6,0.2609,41.905,41.665,48.89,50.555,76.7433,71.655,11.1017,12.075,10.9317,2.8961,0.999568,descriptive_only_compiled_n_lt_60,0.5,0.5,0.035341,0.0,0.417769
rbl4_experiment_tool,full_run,24,23,1,gpt,1,0.0435,91.67,91.67,90.0,90.0,100.0,100.0,77.78,77.78,3.9857,3.3817,0.999568,descriptive_only_compiled_n_lt_60,0.5,0.5,0.035341,0.0,0.417769
