timestamp_utc,source,project,module,arm,focal_class,phase,status,category,severity,explanation_vi,suggested_action_vi,detail
2026-07-13T18:32:03+00:00,phase_log,49126308.0,db-scroll-elastic,,,maven_verify_jacoco_pit,FAIL,project_dependency_resolution_error,error,"Maven/Gradle không resolve được dependency của project, thường gặp ở multi-module SNAPSHOT khi module phụ chưa được install hoặc thiếu repository nội bộ.","Build/install project từ root trước khi đo, ví dụ mvn install -DskipTests ở root, hoặc loại instance này khỏi sample nếu dependency không thể khôi phục.","The following general errors were encountered during the Maven build:

- Failed to execute goal on project db-scroll-elastic: Could not resolve dependencies for project com.jeromeloisel:db-scroll-elastic:jar:5.6.4-SNAPSHOT
- dependency: com.jeromeloisel:db-scroll-api:jar:5.6.4-SNAPSHOT (compile)
- Could not find artifact com.jeromeloisel:db-scroll-api:jar:5.6.4-SNAPSHOT
- dependency: com.jeromeloisel:db-integration-test:jar:5.6.4-SNAPSHOT (test)
- Could not find artifact com.jeromeloisel:db-integration-test:jar:5.6.4-SNAPSHOT
- 
- -> [Help 1]
- 
- To see the full stack trace of the errors, re-run Maven with the -e switch.
- Re-run Maven using the -X switch to enable full debug logging.
- 
- For more information about the errors and possible solutions, please read the following articles:
- [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/DependencyResolutionException"
2026-07-13T18:33:57+00:00,phase_log,50552134.0,confucius-commons-lang,,,maven_verify_jacoco_pit,FAIL,project_compilation_error,error,"Project hoặc module Java không compile được khi đo JaCoCo/PIT; đây là lỗi source/dependency/build của repo, không nhất thiết là lỗi GPT.",Xem phase_log.csv để biết file Java và symbol lỗi; cần sửa dependency/source hoặc loại instance khỏi sample nếu precheck không tái lập buildability.,"The following compilation errors were encountered during the Maven build:

- 
- /D:/pilot_delivery/pilot_delivery/pilot_bundle_24/compiledrepos/50552134/confucius-commons-lang/src/test/java/org/confucius/commons/lang/io/scanner/SimpleClassScannerTest.java:[60,34] cannot find symbol
- symbol:   variable Sets
- location: class org.confucius.commons.lang.io.scanner.SimpleClassScannerTest
- /D:/pilot_delivery/pilot_delivery/pilot_bundle_24/compiledrepos/50552134/confucius-commons-lang/src/test/java/org/confucius/commons/lang/io/scanner/SimpleClassScannerTest.java:[64,44] filterClassNames(java.util.Set<java.lang.String>,java.lang.String,boolean) has private access in org.confucius.commons.lang.io.scanner.SimpleClassScanner
- /D:/pilot_delivery/pilot_delivery/pilot_bundle_24/compiledrepos/50552134/confucius-commons-lang/src/test/java/org/confucius/commons/lang/io/scanner/SimpleClassScannerTest.java:[73,34] resolveClassPathURL(java.net.URL,java.lang.String) has private access in org.confucius"
2026-07-13T18:35:35+00:00,phase_log,5093728.0,core,,,maven_verify_jacoco_pit,FAIL,unclassified_runtime_issue,warning,Tool ghi nhận lỗi nhưng chưa phân loại được tự động.,Xem detail trong phase_log.csv/runtime_errors.csv để phân tích thủ công.,"The following general errors were encountered during the Maven build:

- There are test failures.
- 
- Please refer to D:\pilot_delivery\pilot_delivery\pilot_bundle_24\compiledrepos\5093728\core\target\surefire-reports for the individual test results.
- Failed to execute goal org.apache.maven.plugins:maven-assembly-plugin:2.2.1:single (make-javadoc) on project core: Failed to create assembly: Error creating assembly archive javadoc: You must set at least one file. -> [Help 1]
- 
- To see the full stack trace of the errors, re-run Maven with the -e switch.
- Re-run Maven using the -X switch to enable full debug logging.
- 
- For more information about the errors and possible solutions, please read the following articles:
- [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoExecutionException"
2026-07-13T18:35:51+00:00,phase_log,5093728.0,core,,,maven_verify_jacoco_pit,FAIL,project_compilation_error,error,"Project hoặc module Java không compile được khi đo JaCoCo/PIT; đây là lỗi source/dependency/build của repo, không nhất thiết là lỗi GPT.",Xem phase_log.csv để biết file Java và symbol lỗi; cần sửa dependency/source hoặc loại instance khỏi sample nếu precheck không tái lập buildability.,"The following compilation errors were encountered during the Maven build:

- 
- \pilot_delivery\pilot_delivery\pilot_bundle_24\compiledrepos\5093728\core\src\test\java\com\googlecode\fitchy\FeatureContextTest.java:[7,33] error: cannot find symbol
- \pilot_delivery\pilot_delivery\pilot_bundle_24\compiledrepos\5093728\core\src\test\java\com\googlecode\fitchy\FeatureContextTest.java:[81,77] error: cannot find symbol"
2026-07-13T18:37:20+00:00,phase_log,5175291.0,airship-shared,,,maven_verify_jacoco_pit,FAIL,test_framework_dependency_missing,error,"Generated test dùng framework/import không có trong dependency test của module, ví dụ JUnit Jupiter nhưng project chưa có junit-jupiter-api.","Không sửa test sau sinh trong protocol fairness; ghi nhận fail. Nếu chạy pilot debug, cần chọn đúng JUnit version theo project hoặc bổ sung dependency test.","The following compilation errors were encountered during the Maven build:

- 
- ootstrap class path not set in conjunction with -source 1.7
- D:\pilot_delivery\pilot_delivery\pilot_bundle_24\compiledrepos\5175291\airship-shared\src\test\java\io\airlift\airship\shared\TestStrings.java:[8,16] error: package org.junit does not exist
- D:\pilot_delivery\pilot_delivery\pilot_bundle_24\compiledrepos\5175291\airship-shared\src\test\java\io\airlift\airship\shared\TestStrings.java:[9,23] error: package org.junit does not exist
- D:\pilot_delivery\pilot_delivery\pilot_bundle_24\compiledrepos\5175291\airship-shared\src\test\java\io\airlift\airship\shared\TestStrings.java:[16,3] error: cannot find symbol
- symbol:   class Test
- location: class TestStrings
- D:\pilot_delivery\pilot_delivery\pilot_bundle_24\compiledrepos\5175291\airship-shared\src\test\java\io\airlift\airship\shared\TestStrings.java:[21,3] error: cannot find symbol
- symbol:   class Test
- location: class TestStrings
- D:\pilot_del"
2026-07-13T18:37:34+00:00,phase_log,5175291.0,airship-shared,,,maven_verify_jacoco_pit,FAIL,project_compilation_error,error,"Project hoặc module Java không compile được khi đo JaCoCo/PIT; đây là lỗi source/dependency/build của repo, không nhất thiết là lỗi GPT.",Xem phase_log.csv để biết file Java và symbol lỗi; cần sửa dependency/source hoặc loại instance khỏi sample nếu precheck không tái lập buildability.,"The following compilation errors were encountered during the Maven build:

- 
- ootstrap class path not set in conjunction with -source 1.7
- D:\pilot_delivery\pilot_delivery\pilot_bundle_24\compiledrepos\5175291\airship-shared\src\test\java\io\airlift\airship\shared\TestStrings.java:[26,56] error: lambda expressions are not supported in -source 1.7"
2026-07-13T18:39:01+00:00,phase_log,54231507.0,core,,,maven_verify_jacoco_pit,FAIL,test_framework_dependency_missing,error,"Generated test dùng framework/import không có trong dependency test của module, ví dụ JUnit Jupiter nhưng project chưa có junit-jupiter-api.","Không sửa test sau sinh trong protocol fairness; ghi nhận fail. Nếu chạy pilot debug, cần chọn đúng JUnit version theo project hoặc bổ sung dependency test.","The following compilation errors were encountered during the Maven build:

- 
- /D:/pilot_delivery/pilot_delivery/pilot_bundle_24/compiledrepos/54231507/core/src/test/java/ru/stqa/selenium/decorated/events/EventFiringWebDriverTest.java:[8,17] cannot find symbol
- symbol:   class Test
- location: package org.junit
- /D:/pilot_delivery/pilot_delivery/pilot_bundle_24/compiledrepos/54231507/core/src/test/java/ru/stqa/selenium/decorated/events/EventFiringWebDriverTest.java:[9,24] cannot find symbol
- symbol:   class Assert
- location: package org.junit
- /D:/pilot_delivery/pilot_delivery/pilot_bundle_24/compiledrepos/54231507/core/src/test/java/ru/stqa/selenium/decorated/events/EventFiringWebDriverTest.java:[18,4] cannot find symbol
- symbol:   class Test
- location: class ru.stqa.selenium.decorated.events.EventFiringWebDriverTest
- /D:/pilot_delivery/pilot_delivery/pilot_bundle_24/compiledrepos/54231507/core/src/test/java/ru/stqa/selenium/decorated/events/EventFiringWebDriverTest.java:[24,"
2026-07-13T18:39:16+00:00,phase_log,54231507.0,core,,,maven_verify_jacoco_pit,FAIL,test_framework_dependency_missing,error,"Generated test dùng framework/import không có trong dependency test của module, ví dụ JUnit Jupiter nhưng project chưa có junit-jupiter-api.","Không sửa test sau sinh trong protocol fairness; ghi nhận fail. Nếu chạy pilot debug, cần chọn đúng JUnit version theo project hoặc bổ sung dependency test.","The following compilation errors were encountered during the Maven build:

- 
- /D:/pilot_delivery/pilot_delivery/pilot_bundle_24/compiledrepos/54231507/core/src/test/java/ru/stqa/selenium/decorated/events/EventFiringWebDriverTest.java:[3,17] cannot find symbol
- symbol:   class Before
- location: package org.junit
- /D:/pilot_delivery/pilot_delivery/pilot_bundle_24/compiledrepos/54231507/core/src/test/java/ru/stqa/selenium/decorated/events/EventFiringWebDriverTest.java:[4,17] cannot find symbol
- symbol:   class Test
- location: package org.junit
- /D:/pilot_delivery/pilot_delivery/pilot_bundle_24/compiledrepos/54231507/core/src/test/java/ru/stqa/selenium/decorated/events/EventFiringWebDriverTest.java:[21,6] cannot find symbol
- symbol:   class Before
- location: class ru.stqa.selenium.decorated.events.EventFiringWebDriverTest
- /D:/pilot_delivery/pilot_delivery/pilot_bundle_24/compiledrepos/54231507/core/src/test/java/ru/stqa/selenium/decorated/events/EventFiringWebDriverTest.java:[2"
2026-07-13T18:47:02+00:00,phase_log,54620819.0,mvn-golang-wrapper,,,maven_verify_jacoco_pit,FAIL,project_compilation_error,error,"Project hoặc module Java không compile được khi đo JaCoCo/PIT; đây là lỗi source/dependency/build của repo, không nhất thiết là lỗi GPT.",Xem phase_log.csv để biết file Java và symbol lỗi; cần sửa dependency/source hoặc loại instance khỏi sample nếu precheck không tái lập buildability.,"The following compilation errors were encountered during the Maven build:

- 
- /D:/pilot_delivery/pilot_delivery/pilot_bundle_24/compiledrepos/54620819/mvn-golang-wrapper/src/test/java/com/igormaznitsa/mvngolang/GolangBuildMojoTest.java:[8,19] package org.mockito does not exist
- /D:/pilot_delivery/pilot_delivery/pilot_bundle_24/compiledrepos/54620819/mvn-golang-wrapper/src/test/java/com/igormaznitsa/mvngolang/GolangBuildMojoTest.java:[15,26] package org.mockito does not exist
- /D:/pilot_delivery/pilot_delivery/pilot_bundle_24/compiledrepos/54620819/mvn-golang-wrapper/src/test/java/com/igormaznitsa/mvngolang/GolangBuildMojoTest.java:[25,25] cannot find symbol
- symbol:   variable Mockito
- location: class com.igormaznitsa.mvngolang.GolangBuildMojoTest
- /D:/pilot_delivery/pilot_delivery/pilot_bundle_24/compiledrepos/54620819/mvn-golang-wrapper/src/test/java/com/igormaznitsa/mvngolang/GolangBuildMojoTest.java:[26,13] projectHelper has private access in com.igormaznitsa.mvngolang.Golan"
2026-07-13T18:47:21+00:00,phase_log,56342003.0,,evosuite,AbstractService,evosuite_generate,FAIL,unclassified_runtime_issue,warning,Tool ghi nhận lỗi nhưng chưa phân loại được tự động.,Xem detail trong phase_log.csv/runtime_errors.csv để phân tích thủ công.,"iumhq/selenium/selenium-firefox-driver/3.6.0/selenium-firefox-driver-3.6.0.jar (796 kB at 847 kB/s)
Progress (2): 6.4/6.5 MB | 149 kB
Progress (2): 6.4/6.5 MB | 149 kB
Progress (2): 6.4/6.5 MB | 149 kB
Progress (2): 6.4/6.5 MB | 149 kB
Progress (2): 6.5/6.5 MB | 149 kB
Progress (2): 6.5/6.5 MB | 149 kB
Progress (2): 6.5/6.5 MB | 149 kB
                                 
Downloaded from central: https://repo.maven.apache.org/maven2/org/seleniumhq/selenium/selenium-support/3.6.0/selenium-support-3.6.0.jar (149 kB at 158 kB/s)
Progress (1): 6.5/6.5 MB
Progress (1): 6.5/6.5 MB
Progress (1): 6.5/6.5 MB
Progress (1): 6.5 MB    
Progress (2): 6.5 MB | 4.6 kB
Progress (3): 6.5 MB | 4.6 kB | 7.7/24 kB
Progress (3): 6.5 MB | 4.6 kB | 15/24 kB 
Progress (3): 6.5 MB | 4.6 kB | 24 kB   
                                     
Downloaded from central: https://repo.maven.apache.org/maven2/org/slf4j/jul-to-slf4j/1.7.25/jul-to-slf4j-1.7.25.jar (4.6 kB at 4.7 kB/s)
Downloaded from central: https://repo.mav"
