arm,n,source_n,compilation_success_n,compilation_success_rate,branch_coverage_compiled_mean,branch_coverage_compiled_median,branch_coverage_strict_mean,branch_coverage_strict_median,line_coverage_compiled_mean,line_coverage_compiled_median,line_coverage_strict_mean,line_coverage_strict_median,method_coverage_compiled_mean,method_coverage_compiled_median,method_coverage_strict_mean,method_coverage_strict_median,mutation_coverage_compiled_mean,mutation_coverage_compiled_median,mutation_coverage_strict_mean,mutation_coverage_strict_median
evosuite,300,300,158,0.526667,59.348955,69.375,26.5092,0.0,64.12481,72.905,33.7724,0.0,73.722975,89.375,38.827433,0.0,13.319114,8.11,7.014733,0.0
gpt,300,300,61,0.203333,72.179333,77.78,10.8269,0.0,82.222623,90.0,16.7186,0.0,85.067869,100.0,17.297133,0.0,58.312131,66.67,11.8568,0.0
