sample_index,class_key,project,repo_id,focal_class,focal_path,module,scope_key,build_tool,java_version,complexity_half,nloc,token_count,method_count,public_method_count,max_method_cc,sum_method_cc,avg_method_cc,selection_rank_in_repo,original_manifest_index,split_name,evosuite_branch_coverage,gpt_branch_coverage,evosuite_compilation,gpt_compilation,evosuite_line_coverage,gpt_line_coverage,evosuite_method_coverage,gpt_method_coverage,evosuite_mutation_coverage,gpt_mutation_coverage,evosuite_strict_branch_coverage,gpt_strict_branch_coverage,evosuite_strict_line_coverage,gpt_strict_line_coverage,evosuite_strict_method_coverage,gpt_strict_method_coverage,evosuite_strict_mutation_coverage,gpt_strict_mutation_coverage,strict_mutation_diff_gpt_minus_evosuite,rq4_wilcoxon_shifted_value,strict_branch_diff_gpt_minus_evosuite
46,81384608:integrations/spark/spark-catalog/spark-catalog-core/src/main/java/com/thinkbiganalytics/kylo/catalog/spark/sources/spark/flaggingvisitor.java,81384608,81384608,FlaggingVisitor,integrations/spark/spark-catalog/spark-catalog-core/src/main/java/com/thinkbiganalytics/kylo/catalog/spark/sources/spark/FlaggingVisitor.java,integrations/spark/spark-catalog/spark-catalog-core,maven:integrations/spark/spark-catalog/spark-catalog-core,Maven,1.8,lower_complexity_half,20,139,2,1,1,2,1.0,3,11,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
47,81384608:integrations/spark/spark-catalog/spark-catalog-core/src/main/java/com/thinkbiganalytics/kylo/catalog/spark/sources/abstractjdbcdatasetprovider.java,81384608,81384608,AbstractJdbcDataSetProvider,integrations/spark/spark-catalog/spark-catalog-core/src/main/java/com/thinkbiganalytics/kylo/catalog/spark/sources/AbstractJdbcDataSetProvider.java,integrations/spark/spark-catalog/spark-catalog-core,maven:integrations/spark/spark-catalog/spark-catalog-core,Maven,1.8,higher_complexity_half,211,1966,11,6,11,42,3.8181818181818183,1,265,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
48,85795396:metrics-dropwizardmetrics/src/main/java/org/apache/calcite/avatica/metrics/dropwizard/dropwizardmetricssystemfactory.java,85795396,85795396,DropwizardMetricsSystemFactory,metrics-dropwizardmetrics/src/main/java/org/apache/calcite/avatica/metrics/dropwizard/DropwizardMetricsSystemFactory.java,metrics-dropwizardmetrics,gradle:metrics-dropwizardmetrics,Gradle,1.8,lower_complexity_half,15,120,1,1,3,3,3.0,1,80,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
49,85795396:core/src/main/java/org/apache/calcite/avatica/connectionconfigimpl.java,85795396,85795396,ConnectionConfigImpl,core/src/main/java/org/apache/calcite/avatica/ConnectionConfigImpl.java,core,gradle:core,Gradle,1.8,higher_complexity_half,323,2298,56,54,5,79,1.4107142857142858,2,193,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
50,95247959:http-clients/netty-nio-client/src/main/java/software/amazon/awssdk/http/nio/netty/internal/http2/http2goawayeventlistener.java,95247959,95247959,Http2GoAwayEventListener,http-clients/netty-nio-client/src/main/java/software/amazon/awssdk/http/nio/netty/internal/http2/Http2GoAwayEventListener.java,http-clients/netty-nio-client,maven:http-clients/netty-nio-client,Maven,1.8,lower_complexity_half,30,265,2,1,2,3,1.5,2,43,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
51,95247959:http-clients/netty-nio-client/src/main/java/software/amazon/awssdk/http/nio/netty/internal/http2/httporhttp2channelpool.java,95247959,95247959,HttpOrHttp2ChannelPool,http-clients/netty-nio-client/src/main/java/software/amazon/awssdk/http/nio/netty/internal/http2/HttpOrHttp2ChannelPool.java,http-clients/netty-nio-client,maven:http-clients/netty-nio-client,Maven,1.8,higher_complexity_half,201,1344,15,6,5,32,2.1333333333333333,1,190,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
52,9619226:spring-data-simpledb-impl/src/main/java/org/springframework/data/simpledb/query/simpledbqueryrunner.java,9619226,9619226,SimpleDbQueryRunner,spring-data-simpledb-impl/src/main/java/org/springframework/data/simpledb/query/SimpleDbQueryRunner.java,spring-data-simpledb-impl,maven:spring-data-simpledb-impl,Maven,1.6,lower_complexity_half,52,370,9,6,2,10,1.1111111111111112,1,70,pilot60,80.0,,1,0,78.26,,55.56,,45.0,,80.0,0.0,78.26,0.0,55.56,0.0,45.0,0.0,-45.0,-40.0,-80.0
53,9619226:spring-data-simpledb-impl/src/main/java/org/springframework/data/simpledb/attributeutil/simpledbattributevaluesplitter.java,9619226,9619226,SimpleDbAttributeValueSplitter,spring-data-simpledb-impl/src/main/java/org/springframework/data/simpledb/attributeutil/SimpleDbAttributeValueSplitter.java,spring-data-simpledb-impl,maven:spring-data-simpledb-impl,Maven,1.6,higher_complexity_half,68,671,4,2,5,13,3.25,4,184,pilot60,44.44,,1,0,56.76,,75.0,,4.55,,44.44,0.0,56.76,0.0,75.0,0.0,4.55,0.0,-4.55,0.4500000000000002,-44.44
54,97822421:infrastructure/src/main/java/com/pchudzik/springmock/infrastructure/spring/doubledefinitionsregistrationcontext.java,97822421,97822421,DoubleDefinitionsRegistrationContext,infrastructure/src/main/java/com/pchudzik/springmock/infrastructure/spring/DoubleDefinitionsRegistrationContext.java,infrastructure,maven:infrastructure,Maven,1.8,lower_complexity_half,62,481,7,5,3,10,1.4285714285714286,1,101,pilot60,66.67,,1,0,72.73,,72.73,,12.5,,66.67,0.0,72.73,0.0,72.73,0.0,12.5,0.0,-12.5,-7.5,-66.67
55,97822421:infrastructure/src/main/java/com/pchudzik/springmock/infrastructure/spring/tospyreplacingprocessor.java,97822421,97822421,ToSpyReplacingProcessor,infrastructure/src/main/java/com/pchudzik/springmock/infrastructure/spring/ToSpyReplacingProcessor.java,infrastructure,maven:infrastructure,Maven,1.8,higher_complexity_half,73,597,6,1,6,15,2.5,10,195,pilot60,12.5,,1,0,41.18,,71.43,,5.0,,12.5,0.0,41.18,0.0,71.43,0.0,5.0,0.0,-5.0,0.0,-12.5
56,98410891:core/src/main/java/com/softavail/commsrouter/eval/jevalevaluator.java,98410891,98410891,JEvalEvaluator,core/src/main/java/com/softavail/commsrouter/eval/JEvalEvaluator.java,core,maven:core,Maven,1.8,lower_complexity_half,44,279,5,3,3,7,1.4,1,91,pilot60,75.0,,1,0,71.43,,83.33,,11.11,,75.0,0.0,71.43,0.0,83.33,0.0,11.11,0.0,-11.11,-6.109999999999999,-75.0
57,98410891:core-interface/src/main/java/com/softavail/commsrouter/api/dto/model/skill/numberinterval.java,98410891,98410891,NumberInterval,core-interface/src/main/java/com/softavail/commsrouter/api/dto/model/skill/NumberInterval.java,core-interface,maven:core-interface,Maven,1.8,higher_complexity_half,105,704,15,11,17,50,3.3333333333333335,7,289,pilot60,89.47,44.74,1,1,94.64,76.79,100.0,93.33,31.58,55.26,89.47,44.74,94.64,76.79,100.0,93.33,31.58,55.26,23.68,28.68,-44.73
58,9884445:minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/metadata/handler/secureannotationhandler.java,9884445,9884445,SecureAnnotationHandler,minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/metadata/handler/SecureAnnotationHandler.java,minnal-jaxrs/minnal-instrumentation-jaxrs,maven:minnal-jaxrs/minnal-instrumentation-jaxrs,Maven,1.7,lower_complexity_half,17,167,2,1,1,2,1.0,1,7,pilot60,,,0,1,,100.0,,100.0,,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,105.0,0.0
59,9884445:minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/entitynode.java,9884445,9884445,EntityNode,minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/EntityNode.java,minnal-jaxrs/minnal-instrumentation-jaxrs,maven:minnal-jaxrs/minnal-instrumentation-jaxrs,Maven,1.7,higher_complexity_half,275,1996,31,18,8,65,2.096774193548387,2,245,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
