sample_index,class_key,project,repo_id,focal_class,focal_path,module,scope_key,build_tool,java_version,complexity_half,nloc,token_count,method_count,public_method_count,max_method_cc,sum_method_cc,avg_method_cc,selection_rank_in_repo,original_manifest_index,split_name,evosuite_branch_coverage,gpt_branch_coverage,evosuite_compilation,gpt_compilation,evosuite_line_coverage,gpt_line_coverage,evosuite_method_coverage,gpt_method_coverage,evosuite_mutation_coverage,gpt_mutation_coverage,evosuite_strict_branch_coverage,gpt_strict_branch_coverage,evosuite_strict_line_coverage,gpt_strict_line_coverage,evosuite_strict_method_coverage,gpt_strict_method_coverage,evosuite_strict_mutation_coverage,gpt_strict_mutation_coverage,strict_mutation_diff_gpt_minus_evosuite,rq4_wilcoxon_shifted_value,strict_branch_diff_gpt_minus_evosuite
12,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/argumentsfile.java,44308560,44308560,ArgumentsFile,src/RobotFrameworkCore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/ArgumentsFile.java,src/RobotFrameworkCore/org.robotframework.ide.core-functions,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,Maven,1.8,lower_complexity_half,85,729,9,1,4,17,1.8888888888888888,1,147,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
13,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/debug/stackframevariables.java,44308560,44308560,StackFrameVariables,src/RobotFrameworkCore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/debug/StackFrameVariables.java,src/RobotFrameworkCore/org.robotframework.ide.core-functions,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,Maven,1.8,higher_complexity_half,132,1278,12,8,8,29,2.4166666666666665,3,238,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
14,45997449:webrex/src/main/java/com/ebayopensource/webrex/resource/resourcewrapper.java,45997449,45997449,ResourceWrapper,WebRex/src/main/java/com/ebayopensource/webrex/resource/ResourceWrapper.java,WebRex,maven:WebRex,Maven,1.7,lower_complexity_half,76,408,16,15,1,16,1.0,8,37,pilot60,,,1,0,60.0,,50.0,,0.0,,0.0,0.0,60.0,0.0,50.0,0.0,0.0,0.0,0.0,5.0,0.0
15,45997449:webrex/src/main/java/com/ebayopensource/webrex/resource/expression/resourceelevaluator.java,45997449,45997449,ResourceELEvaluator,WebRex/src/main/java/com/ebayopensource/webrex/resource/expression/ResourceELEvaluator.java,WebRex,maven:WebRex,Maven,1.7,higher_complexity_half,87,602,8,5,5,20,2.5,1,185,pilot60,91.67,,1,0,93.02,,100.0,,57.14,,91.67,0.0,93.02,0.0,100.0,0.0,57.14,0.0,-57.14,-52.14,-91.67
16,46396068:hbase0.98/hbase-common-0.98/src/main/java/com/kakao/hbase/common/util/alertsender.java,46396068,46396068,AlertSender,hbase0.98/hbase-common-0.98/src/main/java/com/kakao/hbase/common/util/AlertSender.java,hbase0.98/hbase-common-0.98,maven:hbase0.98/hbase-common-0.98,Maven,1.8,lower_complexity_half,36,258,3,2,4,6,2.0,1,123,pilot60,0.0,0.0,1,1,11.76,35.29,66.67,100.0,0.0,33.33,0.0,0.0,11.76,35.29,66.67,100.0,0.0,33.33,33.33,38.33,0.0
17,46396068:hbase0.98/hbase-manager-0.98/src/main/java/com/kakao/hbase/manager/command/mc.java,46396068,46396068,MC,hbase0.98/hbase-manager-0.98/src/main/java/com/kakao/hbase/manager/command/MC.java,hbase0.98/hbase-manager-0.98,maven:hbase0.98/hbase-manager-0.98,Maven,1.8,higher_complexity_half,240,2130,13,2,12,56,4.3076923076923075,2,271,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
18,46450575:flo-workflow/src/main/java/com/spotify/flo/context/asynccontext.java,46450575,46450575,AsyncContext,flo-workflow/src/main/java/com/spotify/flo/context/AsyncContext.java,flo-workflow,maven:flo-workflow,Maven,1.8,lower_complexity_half,41,327,6,5,1,6,1.0,1,28,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
19,46450575:flo-workflow/src/main/java/com/spotify/flo/taskids.java,46450575,46450575,TaskIds,flo-workflow/src/main/java/com/spotify/flo/TaskIds.java,flo-workflow,maven:flo-workflow,Maven,1.8,higher_complexity_half,47,348,4,2,5,10,2.5,9,181,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
20,48046454:hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/jetclientinstanceimpl.java,48046454,48046454,JetClientInstanceImpl,hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/JetClientInstanceImpl.java,hazelcast-jet-core,maven:hazelcast-jet-core,Maven,1.8,lower_complexity_half,103,781,14,10,2,15,1.0714285714285714,3,76,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
21,48046454:hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/util/skewreductionpolicy.java,48046454,48046454,SkewReductionPolicy,hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/util/SkewReductionPolicy.java,hazelcast-jet-core,maven:hazelcast-jet-core,Maven,1.8,higher_complexity_half,92,647,11,4,4,24,2.1818181818181817,1,156,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
