repo_id,run_id,attempt_no,command,command_source,working_directory,exit_code,status,failure_category,recoverability,log_path,duration_seconds,timestamp_start,timestamp_end
72889410,20260712_230641,1,gradle testClasses -x test,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/72889410,1,failed,unknown_build_failure,needs_manual_review,logs/build/72889410_20260712_230641_attempt_1.log,2.52,1783879665.6780405,1783879668.1942542
72889410,20260712_230641,2,gradle testClasses -x test -x integrationTest,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/72889410,1,failed,unknown_build_failure,needs_manual_review,logs/build/72889410_20260712_230641_attempt_2.log,2.51,1783879668.2042193,1783879670.712175
72889410,20260712_230641,3,gradle testClasses -x test -x integrationTest -x checkstyleMain -x checkstyleTest -x spotlessCheck,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/72889410,1,failed,unknown_build_failure,needs_manual_review,logs/build/72889410_20260712_230641_attempt_3.log,2.54,1783879670.71359,1783879673.25583
89138130,20260712_230641,1,gradle testClasses -x test,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/89138130,1,failed,unknown_build_failure,needs_manual_review,logs/build/89138130_20260712_230641_attempt_1.log,6.89,1783879707.419432,1783879714.3126283
89138130,20260712_230641,2,gradle testClasses -x test -x integrationTest,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/89138130,1,failed,unknown_build_failure,needs_manual_review,logs/build/89138130_20260712_230641_attempt_2.log,3.62,1783879714.3139296,1783879717.9330041
89138130,20260712_230641,3,gradle testClasses -x test -x integrationTest -x checkstyleMain -x checkstyleTest -x spotlessCheck,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/89138130,1,failed,unknown_build_failure,needs_manual_review,logs/build/89138130_20260712_230641_attempt_3.log,3.51,1783879717.9343264,1783879721.4405193
57251243,20260712_230641,1,gradlew.bat testClasses -x test,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/57251243,0,success,,,logs/build/57251243_20260712_230641_attempt_1.log,60.26,1783879753.0948453,1783879813.350001
70711909,20260712_230641,1,mvn test-compile -DskipTests,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/70711909,0,success,,,logs/build/70711909_20260712_230641_attempt_1.log,6.84,1783879829.9937513,1783879836.829767
42987615,20260712_230641,1,mvn test-compile -DskipTests,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/42987615,1,failed,source_compile_failed,needs_manual_review,logs/build/42987615_20260712_230641_attempt_1.log,2.97,1783879848.5915873,1783879851.562771
42987615,20260712_230641,2,mvn test-compile -DskipTests -DskipITs,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/42987615,1,failed,source_compile_failed,needs_manual_review,logs/build/42987615_20260712_230641_attempt_2.log,2.91,1783879851.5720463,1783879854.4809878
42987615,20260712_230641,3,mvn test-compile -DskipTests -DskipITs -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dlicense.skip=true -Dgpg.skip=true,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/42987615,1,failed,source_compile_failed,needs_manual_review,logs/build/42987615_20260712_230641_attempt_3.log,2.94,1783879854.4895625,1783879857.4272041
42987615,20260712_230641,4,mvn test-compile -DskipTests -DskipITs -Ddocker.skip=true -DskipDocker -Dfrontend.skip=true -DskipNpm,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/42987615,1,failed,source_compile_failed,needs_manual_review,logs/build/42987615_20260712_230641_attempt_4.log,2.84,1783879857.4355469,1783879860.2763004
58767125,20260712_230641,1,mvn test-compile -DskipTests,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/58767125,0,success,,,logs/build/58767125_20260712_230641_attempt_1.log,1.63,1783879871.2753384,1783879872.907178
9278888,20260712_230641,1,mvn test-compile -DskipTests,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/9278888,1,failed,unknown_build_failure,needs_manual_review,logs/build/9278888_20260712_230641_attempt_1.log,3.78,1783879973.3064575,1783879977.0824888
9278888,20260712_230641,2,mvn test-compile -DskipTests -DskipITs,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/9278888,1,failed,unknown_build_failure,needs_manual_review,logs/build/9278888_20260712_230641_attempt_2.log,3.75,1783879977.0866735,1783879980.8404992
9278888,20260712_230641,3,mvn test-compile -DskipTests -DskipITs -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dlicense.skip=true -Dgpg.skip=true,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/9278888,1,failed,unknown_build_failure,needs_manual_review,logs/build/9278888_20260712_230641_attempt_3.log,3.75,1783879980.8443644,1783879984.5991623
9278888,20260712_230641,4,mvn test-compile -DskipTests -DskipITs -Ddocker.skip=true -DskipDocker -Dfrontend.skip=true -DskipNpm,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/9278888,1,failed,unknown_build_failure,needs_manual_review,logs/build/9278888_20260712_230641_attempt_4.log,3.77,1783879984.6030092,1783879988.3763251
96048740,20260712_230641,1,gradle testClasses -x test,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/96048740,1,failed,dependency_resolution_failed,needs_manual_review,logs/build/96048740_20260712_230641_attempt_1.log,8.49,1783880020.549154,1783880029.0405996
96048740,20260712_230641,2,gradle testClasses -x test -x integrationTest,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/96048740,1,failed,dependency_resolution_failed,needs_manual_review,logs/build/96048740_20260712_230641_attempt_2.log,8.82,1783880029.0420125,1783880037.865524
96048740,20260712_230641,3,gradle testClasses -x test -x integrationTest -x checkstyleMain -x checkstyleTest -x spotlessCheck,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/96048740,1,failed,dependency_resolution_failed,needs_manual_review,logs/build/96048740_20260712_230641_attempt_3.log,8.59,1783880037.8667648,1783880046.4545853
702991,20260712_230641,1,mvn test-compile -DskipTests,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/702991,1,failed,missing_dependency,needs_manual_review,logs/build/702991_20260712_230641_attempt_1.log,1.17,1783880049.5375447,1783880050.70528
702991,20260712_230641,2,mvn test-compile -DskipTests -DskipITs,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/702991,1,failed,missing_dependency,needs_manual_review,logs/build/702991_20260712_230641_attempt_2.log,1.14,1783880050.7062972,1783880051.8456323
702991,20260712_230641,3,mvn test-compile -DskipTests -DskipITs -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dlicense.skip=true -Dgpg.skip=true,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/702991,1,failed,missing_dependency,needs_manual_review,logs/build/702991_20260712_230641_attempt_3.log,1.16,1783880051.846839,1783880053.0026157
702991,20260712_230641,4,mvn test-compile -DskipTests -DskipITs -Ddocker.skip=true -DskipDocker -Dfrontend.skip=true -DskipNpm,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/702991,1,failed,missing_dependency,needs_manual_review,logs/build/702991_20260712_230641_attempt_4.log,1.15,1783880053.0035985,1783880054.1527052
37930526,20260712_230641,1,gradle testClasses -x test,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/37930526,1,failed,unknown_build_failure,needs_manual_review,logs/build/37930526_20260712_230641_attempt_1.log,11.37,1783880081.359924,1783880092.7266712
37930526,20260712_230641,2,gradle testClasses -x test -x integrationTest,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/37930526,1,failed,unknown_build_failure,needs_manual_review,logs/build/37930526_20260712_230641_attempt_2.log,11.50,1783880092.7276406,1783880104.2254581
37930526,20260712_230641,3,gradle testClasses -x test -x integrationTest -x checkstyleMain -x checkstyleTest -x spotlessCheck,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/37930526,1,failed,unknown_build_failure,needs_manual_review,logs/build/37930526_20260712_230641_attempt_3.log,11.41,1783880104.2265272,1783880115.6336498
51754367,20260712_230641,1,mvn test-compile -DskipTests,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/51754367,1,failed,source_compile_failed,needs_manual_review,logs/build/51754367_20260712_230641_attempt_1.log,5.22,1783880138.60449,1783880143.828609
51754367,20260712_230641,2,mvn test-compile -DskipTests -DskipITs,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/51754367,1,failed,source_compile_failed,needs_manual_review,logs/build/51754367_20260712_230641_attempt_2.log,2.98,1783880143.831615,1783880146.8070145
51754367,20260712_230641,3,mvn test-compile -DskipTests -DskipITs -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dlicense.skip=true -Dgpg.skip=true,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/51754367,1,failed,source_compile_failed,needs_manual_review,logs/build/51754367_20260712_230641_attempt_3.log,2.91,1783880146.808862,1783880149.719995
51754367,20260712_230641,4,mvn test-compile -DskipTests -DskipITs -Ddocker.skip=true -DskipDocker -Dfrontend.skip=true -DskipNpm,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/51754367,1,failed,source_compile_failed,needs_manual_review,logs/build/51754367_20260712_230641_attempt_4.log,2.96,1783880149.7221801,1783880152.6871617
58317819,20260712_230641,1,gradle testClasses -x test,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/58317819,1,failed,dependency_resolution_failed,needs_manual_review,logs/build/58317819_20260712_230641_attempt_1.log,7.89,1783880171.3248882,1783880179.2198718
58317819,20260712_230641,2,gradle testClasses -x test -x integrationTest,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/58317819,1,failed,dependency_resolution_failed,needs_manual_review,logs/build/58317819_20260712_230641_attempt_2.log,7.50,1783880179.2210062,1783880186.723525
