sample_index,class_key,project,repo_id,focal_class,focal_path,module,scope_key,build_tool,java_version,complexity_half,nloc,token_count,method_count,public_method_count,max_method_cc,sum_method_cc,avg_method_cc,selection_rank_in_repo,original_manifest_index,split_name,evosuite_compilation,gpt_compilation,evosuite_strict_branch_coverage,gpt_strict_branch_coverage,evosuite_strict_line_coverage,gpt_strict_line_coverage,evosuite_strict_method_coverage,gpt_strict_method_coverage,evosuite_strict_mutation_coverage,gpt_strict_mutation_coverage,strict_mutation_diff_gpt_minus_evosuite,rq4_wilcoxon_shifted_value,strict_branch_diff_gpt_minus_evosuite
0,3713233:core/src/main/java/org/junithelper/core/file/filesearcherfactory.java,3713233,3713233,FileSearcherFactory,core/src/main/java/org/junithelper/core/file/FileSearcherFactory.java,core,maven:core,Maven,1.6,lower_complexity_half,8,34,2,1,1,2,1.0,4,8,pilot60,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
1,3713233:core/src/main/java/org/junithelper/core/extractor/constructormetaextractor.java,3713233,3713233,ConstructorMetaExtractor,core/src/main/java/org/junithelper/core/extractor/ConstructorMetaExtractor.java,core,maven:core,Maven,1.6,higher_complexity_half,131,1108,6,3,13,23,3.8333333333333335,1,279,pilot60,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
2,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/scheduler/quartzjob.java,3847504,3847504,QuartzJob,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/scheduler/QuartzJob.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,224,1702,26,24,9,49,1.8846153846153846,1,257,pilot60,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
3,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/pageimpl.java,3847504,3847504,PageImpl,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/PageImpl.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,266,2106,23,19,17,68,2.9565217391304346,2,290,pilot60,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
