repo_id,scope_key,attempt_no,recipe,command_source,command,cwd,declared_java_version,effective_java_runtime,tool_runtime,exit_code,status,failure_category,duration_seconds,log_path,started_at,finished_at
537800,maven:metrics-healthchecks,5,global_fallback_maven_module,global_fallback,"mvn -B -ntp -DskipTests -DskipITs -f ""D:\material\SWT301\rsbln\New folder\data_v3\repos\working\537800\metrics-healthchecks\pom.xml"" clean test-compile",D:\material\SWT301\rsbln\New folder\data_v3\repos\working\537800,8,8,"Apache Maven 3.9.15 (98b2cdbfdb5f1ac8781f537ea9acccaed7922349) | Maven home: C:\Program Files\apache-maven-3.9.15 | Java version: 1.8.0_172, vendor: Oracle Corporation, runtime: C:\Program Files\Java\jdk1.8.0_172\jre | Default locale: en_US, platform encoding: Cp1258 | OS name: ""windows 10"", version: ""10.0"", arch: ""amd64"", family: ""windows""",1,failed,dependency_resolution_failed,1.924,logs/build/537800_maven_metrics-healthchecks_5.log,2026-07-22T23:56:37+00:00,2026-07-22T23:56:40+00:00
537800,maven:metrics-healthchecks,6,global_fallback_maven_module_skip_ancillary,global_fallback,"mvn -B -ntp -DskipTests -DskipITs -f ""D:\material\SWT301\rsbln\New folder\data_v3\repos\working\537800\metrics-healthchecks\pom.xml"" -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dlicense.skip=true -Drat.skip=true -Dgpg.skip=true -DskipNexusStagingDeployMojo=true -Ddocker.skip=true -DskipDocker -Dfrontend.skip=true -DskipNpm -Dskip.npm=true -Dskip.yarn=true -Djacoco.skip=true -Dpmd.skip=true -Dfindbugs.skip=true -Dspotbugs.skip=true clean test-compile",D:\material\SWT301\rsbln\New folder\data_v3\repos\working\537800,8,8,"Apache Maven 3.9.15 (98b2cdbfdb5f1ac8781f537ea9acccaed7922349) | Maven home: C:\Program Files\apache-maven-3.9.15 | Java version: 1.8.0_172, vendor: Oracle Corporation, runtime: C:\Program Files\Java\jdk1.8.0_172\jre | Default locale: en_US, platform encoding: Cp1258 | OS name: ""windows 10"", version: ""10.0"", arch: ""amd64"", family: ""windows""",1,failed,dependency_resolution_failed,1.937,logs/build/537800_maven_metrics-healthchecks_6.log,2026-07-22T23:56:40+00:00,2026-07-22T23:56:42+00:00
537800,maven:metrics-healthchecks,7,global_fallback_maven_reactor,global_fallback,"mvn -B -ntp -DskipTests -DskipITs -f ""D:\material\SWT301\rsbln\New folder\data_v3\repos\working\537800\pom.xml"" -pl metrics-healthchecks -am clean test-compile",D:\material\SWT301\rsbln\New folder\data_v3\repos\working\537800,8,8,"Apache Maven 3.9.15 (98b2cdbfdb5f1ac8781f537ea9acccaed7922349) | Maven home: C:\Program Files\apache-maven-3.9.15 | Java version: 1.8.0_172, vendor: Oracle Corporation, runtime: C:\Program Files\Java\jdk1.8.0_172\jre | Default locale: en_US, platform encoding: Cp1258 | OS name: ""windows 10"", version: ""10.0"", arch: ""amd64"", family: ""windows""",1,failed,source_compile_failed,3.721,logs/build/537800_maven_metrics-healthchecks_7.log,2026-07-22T23:56:42+00:00,2026-07-22T23:56:46+00:00
537800,maven:metrics-healthchecks,8,global_fallback_maven_reactor_skip_ancillary,global_fallback,"mvn -B -ntp -DskipTests -DskipITs -f ""D:\material\SWT301\rsbln\New folder\data_v3\repos\working\537800\pom.xml"" -pl metrics-healthchecks -am -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dlicense.skip=true -Drat.skip=true -Dgpg.skip=true -DskipNexusStagingDeployMojo=true -Ddocker.skip=true -DskipDocker -Dfrontend.skip=true -DskipNpm -Dskip.npm=true -Dskip.yarn=true -Djacoco.skip=true -Dpmd.skip=true -Dfindbugs.skip=true -Dspotbugs.skip=true clean test-compile",D:\material\SWT301\rsbln\New folder\data_v3\repos\working\537800,8,8,"Apache Maven 3.9.15 (98b2cdbfdb5f1ac8781f537ea9acccaed7922349) | Maven home: C:\Program Files\apache-maven-3.9.15 | Java version: 1.8.0_172, vendor: Oracle Corporation, runtime: C:\Program Files\Java\jdk1.8.0_172\jre | Default locale: en_US, platform encoding: Cp1258 | OS name: ""windows 10"", version: ""10.0"", arch: ""amd64"", family: ""windows""",1,failed,source_compile_failed,3.684,logs/build/537800_maven_metrics-healthchecks_8.log,2026-07-22T23:56:46+00:00,2026-07-22T23:56:50+00:00
537800,maven:metrics-healthchecks,9,repository_wrapper_maven_module_external_repository_fallback,repository_wrapper+pre_registered_external_repository_fallback,"""D:\material\SWT301\rsbln\New folder\data_v3\repos\working\537800\mvnw.cmd"" -B -ntp -DskipTests -DskipITs -s ""D:\material\SWT301\rsbln\New folder\research_pipeline_v3\maven-settings-v3.xml"" -f ""D:\material\SWT301\rsbln\New folder\data_v3\repos\working\537800\metrics-healthchecks\pom.xml"" -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dlicense.skip=true -Drat.skip=true -Dgpg.skip=true -DskipNexusStagingDeployMojo=true -Ddocker.skip=true -DskipDocker -Dfrontend.skip=true -DskipNpm -Dskip.npm=true -Dskip.yarn=true -Djacoco.skip=true -Dpmd.skip=true -Dfindbugs.skip=true -Dspotbugs.skip=true clean test-compile",D:\material\SWT301\rsbln\New folder\data_v3\repos\working\537800,8,8,"Apache Maven 3.9.16 (2bdd9fddda4b155ebf8000e807eb73fd829a51d5) | Maven home: C:\Users\quyt2\.m2\wrapper\dists\apache-maven-3.9.16\b0decc59e0478c8a1e7a76eb2ad7e3f5 | Java version: 1.8.0_172, vendor: Oracle Corporation, runtime: C:\Program Files\Java\jdk1.8.0_172\jre | Default locale: en_US, platform encoding: Cp1258 | OS name: ""windows 10"", version: ""10.0"", arch: ""amd64"", family: ""windows""",1,failed,unknown_build_failure,2.484,logs/build/537800_maven_metrics-healthchecks_9.log,2026-07-22T23:56:50+00:00,2026-07-22T23:56:53+00:00
537800,maven:metrics-healthchecks,10,repository_wrapper_maven_reactor_external_repository_fallback,repository_wrapper+pre_registered_external_repository_fallback,"""D:\material\SWT301\rsbln\New folder\data_v3\repos\working\537800\mvnw.cmd"" -B -ntp -DskipTests -DskipITs -s ""D:\material\SWT301\rsbln\New folder\research_pipeline_v3\maven-settings-v3.xml"" -f ""D:\material\SWT301\rsbln\New folder\data_v3\repos\working\537800\pom.xml"" -pl metrics-healthchecks -am -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dlicense.skip=true -Drat.skip=true -Dgpg.skip=true -DskipNexusStagingDeployMojo=true -Ddocker.skip=true -DskipDocker -Dfrontend.skip=true -DskipNpm -Dskip.npm=true -Dskip.yarn=true -Djacoco.skip=true -Dpmd.skip=true -Dfindbugs.skip=true -Dspotbugs.skip=true clean test-compile",D:\material\SWT301\rsbln\New folder\data_v3\repos\working\537800,8,8,"Apache Maven 3.9.16 (2bdd9fddda4b155ebf8000e807eb73fd829a51d5) | Maven home: C:\Users\quyt2\.m2\wrapper\dists\apache-maven-3.9.16\b0decc59e0478c8a1e7a76eb2ad7e3f5 | Java version: 1.8.0_172, vendor: Oracle Corporation, runtime: C:\Program Files\Java\jdk1.8.0_172\jre | Default locale: en_US, platform encoding: Cp1258 | OS name: ""windows 10"", version: ""10.0"", arch: ""amd64"", family: ""windows""",1,failed,source_compile_failed,4.160,logs/build/537800_maven_metrics-healthchecks_10.log,2026-07-22T23:56:53+00:00,2026-07-22T23:56:58+00:00
537800,maven:metrics-healthchecks,11,global_fallback_maven_module_external_repository_fallback,global_fallback+pre_registered_external_repository_fallback,"mvn -B -ntp -DskipTests -DskipITs -s ""D:\material\SWT301\rsbln\New folder\research_pipeline_v3\maven-settings-v3.xml"" -f ""D:\material\SWT301\rsbln\New folder\data_v3\repos\working\537800\metrics-healthchecks\pom.xml"" -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dlicense.skip=true -Drat.skip=true -Dgpg.skip=true -DskipNexusStagingDeployMojo=true -Ddocker.skip=true -DskipDocker -Dfrontend.skip=true -DskipNpm -Dskip.npm=true -Dskip.yarn=true -Djacoco.skip=true -Dpmd.skip=true -Dfindbugs.skip=true -Dspotbugs.skip=true clean test-compile",D:\material\SWT301\rsbln\New folder\data_v3\repos\working\537800,8,8,"Apache Maven 3.9.15 (98b2cdbfdb5f1ac8781f537ea9acccaed7922349) | Maven home: C:\Program Files\apache-maven-3.9.15 | Java version: 1.8.0_172, vendor: Oracle Corporation, runtime: C:\Program Files\Java\jdk1.8.0_172\jre | Default locale: en_US, platform encoding: Cp1258 | OS name: ""windows 10"", version: ""10.0"", arch: ""amd64"", family: ""windows""",1,failed,unknown_build_failure,1.969,logs/build/537800_maven_metrics-healthchecks_11.log,2026-07-22T23:56:58+00:00,2026-07-22T23:57:01+00:00
537800,maven:metrics-healthchecks,12,global_fallback_maven_reactor_external_repository_fallback,global_fallback+pre_registered_external_repository_fallback,"mvn -B -ntp -DskipTests -DskipITs -s ""D:\material\SWT301\rsbln\New folder\research_pipeline_v3\maven-settings-v3.xml"" -f ""D:\material\SWT301\rsbln\New folder\data_v3\repos\working\537800\pom.xml"" -pl metrics-healthchecks -am -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dlicense.skip=true -Drat.skip=true -Dgpg.skip=true -DskipNexusStagingDeployMojo=true -Ddocker.skip=true -DskipDocker -Dfrontend.skip=true -DskipNpm -Dskip.npm=true -Dskip.yarn=true -Djacoco.skip=true -Dpmd.skip=true -Dfindbugs.skip=true -Dspotbugs.skip=true clean test-compile",D:\material\SWT301\rsbln\New folder\data_v3\repos\working\537800,8,8,"Apache Maven 3.9.15 (98b2cdbfdb5f1ac8781f537ea9acccaed7922349) | Maven home: C:\Program Files\apache-maven-3.9.15 | Java version: 1.8.0_172, vendor: Oracle Corporation, runtime: C:\Program Files\Java\jdk1.8.0_172\jre | Default locale: en_US, platform encoding: Cp1258 | OS name: ""windows 10"", version: ""10.0"", arch: ""amd64"", family: ""windows""",1,failed,source_compile_failed,3.721,logs/build/537800_maven_metrics-healthchecks_12.log,2026-07-22T23:57:01+00:00,2026-07-22T23:57:05+00:00
537800,maven:metrics-jdbi3,1,repository_wrapper_maven_module,repository_wrapper,"""D:\material\SWT301\rsbln\New folder\data_v3\repos\working\537800\mvnw.cmd"" -B -ntp -DskipTests -DskipITs -f ""D:\material\SWT301\rsbln\New folder\data_v3\repos\working\537800\metrics-jdbi3\pom.xml"" clean test-compile",D:\material\SWT301\rsbln\New folder\data_v3\repos\working\537800,8,8,"Apache Maven 3.9.16 (2bdd9fddda4b155ebf8000e807eb73fd829a51d5) | Maven home: C:\Users\quyt2\.m2\wrapper\dists\apache-maven-3.9.16\b0decc59e0478c8a1e7a76eb2ad7e3f5 | Java version: 1.8.0_172, vendor: Oracle Corporation, runtime: C:\Program Files\Java\jdk1.8.0_172\jre | Default locale: en_US, platform encoding: Cp1258 | OS name: ""windows 10"", version: ""10.0"", arch: ""amd64"", family: ""windows""",1,failed,dependency_resolution_failed,2.428,logs/build/537800_maven_metrics-jdbi3_1.log,2026-07-22T23:57:05+00:00,2026-07-22T23:57:08+00:00
537800,maven:metrics-jdbi3,2,repository_wrapper_maven_module_skip_ancillary,repository_wrapper,"""D:\material\SWT301\rsbln\New folder\data_v3\repos\working\537800\mvnw.cmd"" -B -ntp -DskipTests -DskipITs -f ""D:\material\SWT301\rsbln\New folder\data_v3\repos\working\537800\metrics-jdbi3\pom.xml"" -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dlicense.skip=true -Drat.skip=true -Dgpg.skip=true -DskipNexusStagingDeployMojo=true -Ddocker.skip=true -DskipDocker -Dfrontend.skip=true -DskipNpm -Dskip.npm=true -Dskip.yarn=true -Djacoco.skip=true -Dpmd.skip=true -Dfindbugs.skip=true -Dspotbugs.skip=true clean test-compile",D:\material\SWT301\rsbln\New folder\data_v3\repos\working\537800,8,8,"Apache Maven 3.9.16 (2bdd9fddda4b155ebf8000e807eb73fd829a51d5) | Maven home: C:\Users\quyt2\.m2\wrapper\dists\apache-maven-3.9.16\b0decc59e0478c8a1e7a76eb2ad7e3f5 | Java version: 1.8.0_172, vendor: Oracle Corporation, runtime: C:\Program Files\Java\jdk1.8.0_172\jre | Default locale: en_US, platform encoding: Cp1258 | OS name: ""windows 10"", version: ""10.0"", arch: ""amd64"", family: ""windows""",1,failed,dependency_resolution_failed,2.412,logs/build/537800_maven_metrics-jdbi3_2.log,2026-07-22T23:57:08+00:00,2026-07-22T23:57:11+00:00
