arm,n,source_n,compilation_success_n,compilation_success_rate,branch_coverage_compiled_mean,branch_coverage_compiled_median,branch_coverage_strict_mean,branch_coverage_strict_median,line_coverage_compiled_mean,line_coverage_compiled_median,line_coverage_strict_mean,line_coverage_strict_median,method_coverage_compiled_mean,method_coverage_compiled_median,method_coverage_strict_mean,method_coverage_strict_median,mutation_coverage_compiled_mean,mutation_coverage_compiled_median,mutation_coverage_strict_mean,mutation_coverage_strict_median
evosuite,49,60,18,0.367347,51.316154,60.71,13.61449,0.0,61.177778,69.31,22.473469,0.0,68.992778,100.0,25.344286,0.0,13.742778,8.74,5.048367,0.0
gpt,49,60,7,0.142857,64.655,61.665,5.277959,0.0,73.172857,87.8,10.453265,0.0,79.365714,100.0,11.337959,0.0,56.395714,77.78,8.056531,0.0
