sample_index,class_key,project,repo_id,focal_class,module,complexity_half,gpt_strict_mutation_coverage,evosuite_strict_mutation_coverage,strict_mutation_diff_gpt_minus_evosuite,rq4_wilcoxon_shifted_value
27,60578004:elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/internal/server/serverservice.java,60578004,60578004,ServerService,elastic-jobx-core,higher_complexity_half,0.0,0.0,0.0,5.0
28,61565876:injector/src/main/java/ch/jalu/injector/handlers/dependency/typesafeannotationhandler.java,61565876,61565876,TypeSafeAnnotationHandler,injector,lower_complexity_half,0.0,0.0,0.0,5.0
29,61565876:injector/src/main/java/ch/jalu/injector/utils/injectorutils.java,61565876,61565876,InjectorUtils,injector,higher_complexity_half,0.0,0.0,0.0,5.0
30,6293402:server/src/main/java/com/vaadin/data/provider/listdataprovider.java,6293402,6293402,ListDataProvider,server,lower_complexity_half,0.0,0.0,0.0,5.0
31,6293402:server/src/main/java/com/vaadin/util/currentinstance.java,6293402,6293402,CurrentInstance,server,higher_complexity_half,0.0,0.0,0.0,5.0
32,6437134:enav-model/src/main/java/dk/dma/enav/safety/safetyzones.java,6437134,6437134,SafetyZones,enav-model,lower_complexity_half,0.0,0.0,0.0,5.0
33,6437134:enav-model/src/main/java/dk/dma/enav/model/geometry/positiontime.java,6437134,6437134,PositionTime,enav-model,higher_complexity_half,17.95,20.51,-2.5600000000000023,2.4399999999999977
34,64487983:bridge/src/main/java/com/iluwatar/bridge/app.java,64487983,64487983,App,bridge,lower_complexity_half,0.0,0.0,0.0,5.0
35,64487983:hexagonal/src/main/java/com/iluwatar/hexagonal/domain/lotteryticket.java,64487983,64487983,LotteryTicket,hexagonal,higher_complexity_half,0.0,25.93,-25.93,-20.93
36,66303306:event/src/main/java/com/bazaarvoice/emodb/event/db/astyanax/defaultslaballocator.java,66303306,66303306,DefaultSlabAllocator,event,lower_complexity_half,0.0,5.26,-5.26,-0.2599999999999998
37,66303306:web/src/main/java/com/bazaarvoice/emodb/web/settings/settingsmanager.java,66303306,66303306,SettingsManager,web,higher_complexity_half,0.0,15.38,-15.38,-10.38
38,6944525:d2/src/main/java/com/linkedin/d2/balancer/zkfs/zkfsutil.java,6944525,6944525,ZKFSUtil,d2,lower_complexity_half,0.0,0.0,0.0,5.0
