id,title,authors,year,venue,search_string
82,TAM-Eval: Evaluating LLMs for Automated Unit Test Maintenance,Elena Bruches; Vadim Alperovich; Dari Baturova; Roman Derunets; Daniil Grebenkin; Georgy Mkrtchyan; Oleg Sedukhin; Mikhail Klementev; Ivan Bondarenko; Nikolay Bushkov; Stanislav Moiseev,2026,"2026 IEEE International Conference on Software Analysis, Evolution and Reengineering - Companion (SANER-C)","(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
83,Unit Test Update through LLM-Driven Context Collection and Error-Type-Aware Refinement,Yuanhe Zhang; Zhiquan Yang; Shengyi Pan; Zhongxin Liu,2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
84,From Heuristics to Intelligence: Large Language Model-Driven Test Case Generation,Antonio Mastropaolo; Rick Kuhn; Jeffrey Voas,2025,Computer,"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
85,LLM-Driven Smart Test Case Generation for Scalable Software Testing,Kanaganandini Kanagaraj; Devansh Handa; Kindi Krishna Nikhil; S. Duvarakanath; Supriya M.,2025,"2025 2nd International Conference on Software, Systems and Information Technology (SSITCON)","(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
86,Impact Assessment of Structured Results for the Reliability of LLM-generated Tests,Dovydas Marius Zapkus; Asta Slotkienė,2026,"2026 Open Conference of Electrical, Electronic and Information Sciences (eStream)","(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
87,Multi-Stage Generation of Rust Unit Tests with LLMs,Yongqian Chen; Junwei Zhang; Xing Hu; Xin Xia,2025,2025 32nd Asia-Pacific Software Engineering Conference (APSEC),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
88,Automated Test Case Generation (ATCG): Leveraging Large Language Models for Software Testing,Vasim Shaikh; Vijay Walunj; Amarnath Hanumantharaya; Harsha Vanama,2025,"2025 4th International Conference on Computing, Management and Telecommunications (ComManTel)","(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
89,Large Language Model-Assisted Security Testing for Embedded Systems,Xing Liu; Jian Lin; Weiyu Dong; Zhizhuo Tang; Yonghao Wang,2025,"2025 International Conference on Signal Processing, Computer Networks and Communications (SPCNC)","(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
90,Exploring the Capability of ChatGPT in Test Generation,Gaolei Yi; Zizhao Chen; Zhenyu Chen; W. Eric Wong; Nicholas Chau,2023,"2023 IEEE 23rd International Conference on Software Quality, Reliability, and Security Companion (QRS-C)","(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
91,Boosting Test Generation in Industrial Codebases: A Comparative Study of Base and Fine-Tuned LLMs,Azeem Ahmad; Muhammad Rashid Naeem,2026,IEEE Access,"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
92,Assessing Evaluation Metrics for Neural Test Oracle Generation,Jiho Shin; Hadi Hemmati; Moshi Wei; Song Wang,2024,IEEE Transactions on Software Engineering,"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
93,Empirical Evaluation of Large Language Models for Novice Program Fault Localization,Yangtao Liu; Hengyuan Liu; Zezhong Yang; Zheng Li; Yong Liu,2024,"2024 IEEE 24th International Conference on Software Quality, Reliability and Security (QRS)","(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
94,LLMLOOP: Improving LLM-Generated Code and Tests Through Automated Iterative Feedback Loops,Ravin Ravi; Dylan Bradshaw; Stefano Ruberto; Gunel Jahangirova; Valerio Terragni,2025,2025 IEEE International Conference on Software Maintenance and Evolution (ICSME),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
95,Chattss: Improving Test Suite Simplification Via Large Language Models,Gaolei Yi; Yuan Zhao; Runkang Feng; Quanjun Zhang; Zhenyu Chen,2025,"2025 25th International Conference on Software Quality, Reliability and Security (QRS)","(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
96,LLMs are All You Need? Improving Fuzz Testing for MOJO with Large Language Models,Linghan Huang; Peizhou Zhao; Huaming Chen,2025,2025 32nd Asia-Pacific Software Engineering Conference (APSEC),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
97,"Software Testing With Large Language Models: Survey, Landscape, and Vision",Junjie Wang; Yuchao Huang; Chunyang Chen; Zhe Liu; Song Wang; Qing Wang,2024,IEEE Transactions on Software Engineering,"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
98,Action-State Testing—A Model for Test Design Automation,István Forgács; Attila Kovács,2025,IEEE Access,"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
99,SATORI: Static Test Oracle Generation for REST APIs,Juan C. Alonso; Alberto Martin-Lopez; Sergio Segura; Gabriele Bavota; Antonio Ruiz-Cortés,2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
100,Towards Understanding the Effectiveness of Large Language Models on Directed Test Input Generation,Zongze Jiang; Ming Wen; Jialun Cao; Xuanhua Shi; Hai Jin,2024,2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
101,TrustPKBG: Trustworthy Protocol Knowledge Blueprints Generation via LLM for Low-Altitude AAV Networks,Fan Wu; Yuxin Zhang; Gaolei Li; Jianhua Li; Jin Ma,2026,IEEE Transactions on Cognitive Communications and Networking,"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
102,Toward Automated Validation of Language Model Synthesized Test Cases Using Semantic Entropy,Hamed Taherkhani; Jiho Shin; Muhammad Ammar Tahir; Md Rakib Hossain Misu; Vineet Sunil Gattani; Hadi Hemmati,2026,IEEE Transactions on Software Engineering,"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
103,Clozemaster: Fuzzing Rust Compiler by Harnessing Llms for Infilling Masked Real Programs,Hongyan Gao; Yibiao Yang; Maolin Sun; Jiangchang Wu; Yuming Zhou; Baowen Xu,2025,2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
104,LLM Prompt Engineering for Automated White-Box Integration Test Generation in REST APIs,André Mesquita Rincon; Auri Marcelo Rizzo Vincenzi; João Pascoal Faria,2025,"2025 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)","(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
105,LWDIFF: an LLM-Assisted Differential Testing Framework for Webassembly Runtimes,Shiyao Zhou; Jincheng Wang; He Ye; Hao Zhou; Claire Le Goues; Xiapu Luo,2025,2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
106,Nüwa: Enhancing MLIR Fuzzing with LLM-Driven Generation and Adaptive Mutation,Bocan Cao; Weiyuan Tong; Zhanyong Tang; Zixu Wang; Hao Huang; Yuheng Yan,2025,2025 IEEE International Conference on Software Maintenance and Evolution (ICSME),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
107,A Multi-Agent Approach for REST API Testing with Semantic Graphs and LLM-Driven Inputs,Myeongsoo Kim; Tyler Stennett; Saurabh Sinha; Alessandro Orso,2025,2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
108,ECG: Augmenting Embedded Operating System Fuzzing via LLM-Based Corpus Generation,Qiang Zhang; Yuheng Shen; Jianzhong Liu; Yiru Xu; Heyuan Shi; Yu Jiang; Wanli Chang,2024,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
109,MirrorFuzz: Leveraging LLM and Shared Bugs for Deep Learning Framework APIs Fuzzing,Shiwen Ou; Yuwei Li; Lu Yu; Chengkun Wei; Tingke Wen; Qiangpu Chen; Yu Chen; Haizhi Tang; Zulie Pan,2026,IEEE Transactions on Software Engineering,"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
110,Impact of Large Language Models of Code on Fault Localization,Suhwan Ji; Sanghwa Lee; Changsup Lee; Yo-Sub Han; Hyeonseung Im,2025,"2025 IEEE Conference on Software Testing, Verification and Validation (ICST)","(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
111,A Protocol Fuzzing Framework to Detect Remotely Exploitable Vulnerabilities in IoT Nodes,Phi Tuong Lau; Stefan Katzenbeisser,2025,"2025 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)","(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
112,TaK-Fuzz: Transaction-aware Knowledge Smart Contract Fuzzing with Retrieval-Augmented Generation and Language Models,Nguyen Ho Nhat Khoa; Nguyen Thanh Kiet; Vo Truong Trung Hieu; Truong Thi Hoang Hao; Phan The Duy,2025,2025 RIVF International Conference on Computing and Communication Technologies (RIVF),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
113,MR-Adopt: Automatic Deduction of Input Transformation Function for Metamorphic Testing,Congying Xu; Songqiang Chen; Jiarong Wu; Shing-Chi Cheung; Valerio Terragni; Hengcheng Zhu; Jialun Cao,2024,2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
114,SMTPRT: Performance Regression Testing and Localization for SMT Solvers Across Multiple Logics,Ziyang Wang; Xiaohong Li; Lili Quan; Zhiping Zhou; Yao Zhang; Ruitao Feng,2025,2025 32nd Asia-Pacific Software Engineering Conference (APSEC),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
115,TOGLL: Correct and Strong Test Oracle Generation with LLMS,Soneya Binta Hossain; Matthew B. Dwyer,2025,2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
116,Improving the Readability of Automatically Generated Tests Using Large Language Models,Matteo Biagiola; Gianluca Ghislotti; Paolo Tonella,2025,"2025 IEEE Conference on Software Testing, Verification and Validation (ICST)","(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
117,Sedar: Obtaining High-Quality Seeds for DBMS Fuzzing via Cross-DBMS SQL Transfer,Jingzhou Fu; Jie Liang; Zhiyong Wu; Yu Jiang,2024,2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
118,MultiFuzz: A Dense Retrieval-based Multi-Agent System for Network Protocol Fuzzing,Youssef Maklad; Fares Wael; Ali Hamdi; Wael Elsersy; Khaled Shaban,2025,2025 IEEE/ACS 22nd International Conference on Computer Systems and Applications (AICCSA),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
119,GLMFuzz: Vulnerability Knowledge Guided Prompting for Efficient Network Protocol Fuzzing,Shengkai Zhu; Shuitao Gan; Xiaofeng Wang; Yan Nan,2025,"2025 25th International Conference on Software Quality, Reliability and Security (QRS)","(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
120,RPG: Linux Kernel Fuzzing Guided by Distribution-Specific Runtime Parameter Interfaces,Yuhan Chen; Yuheng Shen; Guoyu Yin; Fan Ding; Runzhe Wang; Tao Ma; Xiaohai Shi; Qiang Fu; Ying Fu; Heyuan Shi,2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")"
