index,Project,Focal_Class,Test_Class,Focal_Path,Test_Path,Module,Cyclomatic_complexity,Lines_of_code,Branch_coverage,Method_coverage,Line_coverage,Mutation_Coverage,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
9,6489406,TargetTracker,TargetTrackerTest,compiledrepos/6489406/ais-lib-communication/src/main/java/dk/dma/ais/tracker/targetTracker/TargetTracker.java,compiledrepos/6489406/ais-lib-communication/src/test/java/dk/dma/ais/tracker/targetTracker/TargetTrackerTest.java,ais-lib-communication,54,73,8.82,37.84,42.47,3.85,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,4,0,0,0,0,13,0
10,6489406,Track,TrackTest,compiledrepos/6489406/ais-lib-communication/src/main/java/dk/dma/ais/tracker/eventEmittingTracker/Track.java,compiledrepos/6489406/ais-lib-communication/src/test/java/dk/dma/ais/tracker/eventEmittingTracker/TrackTest.java,ais-lib-communication,95,215,56.67,93.85,86.98,33.33,29,0,0,0,0,0,29,0,0,0,0,0,0,0,6,20,0,0,0,0,29,0
11,6489406,EventEmittingTrackerImpl,EventEmittingTrackerImplTest,compiledrepos/6489406/ais-lib-communication/src/main/java/dk/dma/ais/tracker/eventEmittingTracker/EventEmittingTrackerImpl.java,compiledrepos/6489406/ais-lib-communication/src/test/java/dk/dma/ais/tracker/eventEmittingTracker/EventEmittingTrackerImplTest.java,ais-lib-communication,62,158,85.29,85.71,90.51,32.43,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,14,0,0,0,0,15,0
