id,title,authors,year,venue,search_strings
155,CodeFuse-13B: A Pretrained Multi-lingual Code Large Language Model,"Di, Peng; Li, Jianguo; Yu, Hang; Jiang, Wei; Cai, Wenting; Cao, Yang; Chen, Chaoyu; Chen, Dajun; Chen, Hongwei; Chen, Liang; Fan, Gang; Gong, Jie; Gong, Zi; Hu, Wen; Guo, Tingting; Lei, Zhichao; Li, Ting; Li, Zheng; Liang, Ming; Liao, Cong; Liu, Bingchang; Liu, Jiachen; Liu, Zhiwei; Lu, Shaojun; Shen, Min; Wang, Guangpei; Wang, Huan; Wang, Zhi; Xu, Zhaogui; Yang, Jiawei; Ye, Qing; Zhang, Gehao; Zhang, Yu; Zhao, Zelin; Zheng, Xunjin; Zhou, Hailian; Zhu, Lifu; Zhu, Xianying",2024,Proceedings of the 46th International Conference on Software Engineering: Software Engineering in Practice,String A
156,CodeS: Natural Language to Code Repository via Multi-Layer Sketch,"Zan, Daoguang; Yu, Ailun; Liu, Wei; Chen, Dong; Shen, Bo; Yao, Yafen; Li, Wei; Chen, Xiaolin; Gong, Yongshun; Guan, Bei; Yang, Zhiguang; Wang, Yongji; Cui, Lizhen; Wang, Qianxiang",2025,ACM Transactions on Software Engineering and Methodology,String A
157,Codellm-Devkit: A Framework for Contextualizing Code LLMs with Program Analysis Insights,"Krishna, Rahul; Pan, Rangeet; Sinha, Saurabh; Tamilselvam, Srikanth; Pavuluri, Raju; Vukovic, Maja",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String A
158,CoderUJB: An Executable and Unified Java Benchmark for Practical Programming Scenarios,"Zeng, Zhengran; Wang, Yidong; Xie, Rui; Ye, Wei; Zhang, Shikun",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A
159,Collaborative LLM Agents for End-to-End Software Development,"Garg, Shweta; Omidvar-Tehrani, Behrooz; Fu, Shengyu; Guinet, Gauthier; Ray, Baishakhi",2026,Companion Proceedings of the ACM Web Conference 2026,String A
160,Combating Missed Recalls in E-commerce Search: A CoT-Prompting Testing Approach,"Wu, Shengnan; Hu, Yongxiang; Wang, Yingchuan; Gu, Jiazhen; Meng, Jin; Fan, Liujie; Luan, Zhongshi; Wang, Xin; Zhou, Yangfan",2024,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering,String A
161,Comparative Analysis of Large Language Models for Context-Aware Code Completion using SAFIM Framework,"Zhang, Hang; Shen, Yanxin; Wang, Lun; Shi, Chuanqi; Du, Shaoshuai; Tao, Yiyi; Shen, Yixian",2025,Proceedings of the 2025 International Conference on Artificial Intelligence and Computational Intelligence,String A
162,Compiler.next: A Search-Based Compiler to Power the AI-Native Future of Software Engineering,"Cogo, Filipe R.; Oliva, Gustavo A.; Hassan, Ahmed E.",2026,ACM Transactions on Software Engineering and Methodology,String A
163,ComplexCodeEval: A Benchmark for Evaluating Large Code Models on More Complex Code,"Feng, Jia; Liu, Jiachen; Gao, Cuiyun; Chong, Chun Yong; Wang, Chaozheng; Gao, Shan; Xia, Xin",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,String A
164,ConDefects: A Complementary Dataset to Address the Data Leakage Concern for LLM-Based Fault Localization and Program Repair,"Wu, Yonghao; Li, Zheng; Zhang, Jie M.; Liu, Yong",2024,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering,String B
165,CoverFL: Enhancing Fault Localization via Deep Coverage Relation,"Chen, Wei; Liu, Jiamou; Zhao, Kaiqi; Zhang, Mingyue; Chen, Wu",2026,ACM Transactions on Software Engineering and Methodology,String B
166,CoverUp: Effective High Coverage Test Generation for Python,"Altmayer Pizzorno, Juan; Berger, Emery D.",2025,Proceedings of the ACM on Software Engineering,"String A, String B, String C"
167,Coverage-based Strategies for the Automated Synthesis of Test Scenarios for Conversational Agents,"Canizares, Pablo C.; Ávila, Daniel; Perez-Soler, Sara; Guerra, Esther; De Lara, Juan",2024,Proceedings of the 5th ACM/IEEE International Conference on Automation of Software Test (AST 2024),"String A, String B"
168,CrossProbe: LLM-Empowered Cross-Project Bug Detection for Deep Learning Frameworks,"Guan, Hao; Bai, Guangdong; Liu, Yepang",2025,Proceedings of the ACM on Software Engineering,"String A, String B"
169,Curiosity-Driven Testing for Sequential Decision-Making Process,"He, Junda; Yang, Zhou; Shi, Jieke; Yang, Chengran; Kim, Kisub; Xu, Bowen; Zhou, Xin; Lo, David",2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,String B
170,DAInfer: Inferring API Aliasing Specifications from Library Documentation via Neurosymbolic Optimization,"Wang, Chengpeng; Zhang, Jipeng; Wu, Rongxin; Zhang, Charles",2024,Proceedings of the ACM on Software Engineering,String A
171,DSCode Comparator: An Interactive Interface for Comparing Models and Evaluating Code for Data Science Tasks,"Yu, Xinxin; Zhong, Victor; Crisan, Anamaria",2026,Proceedings of the 31st International Conference on Intelligent User Interfaces,String A
172,Dark and Bright Side of Participatory Red-Teaming with Targets of Stereotyping for Eliciting Harmful Behaviors from Large Language Models,"Kim, Sieun; Jo, Yeeun; Na, Sungmin; Lim, Hyunseung; Lee, Eunchae; Choi, Yu Min; Cho, Soohyun; Hong, Hwajung",2026,Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,String A
173,Data-Prompt Co-Evolution: Growing Test Sets to Refine LLM Behavior,"Lee, Minjae; Kahng, Minsuk",2026,Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,String A
174,DataSpeck: An AI-Driven Human-in-the-Loop System for Automating Transformations in Data Conversion Workflows,"Rahman, Adil; Niinuma, Koichiro; Gupta, Aakar",2026,Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,String A
175,De-duplicating Silent Compiler Bugs via Deep Semantic Representation,"Chen, Junjie; Fan, Xingyu; Yang, Chen; Liu, Shuang; Sun, Jun",2025,Proceedings of the ACM on Software Engineering,String B
176,"Deep Learning Library Testing: Definition, Methods and Challenges","Zhang, Xiaoyu; Jiang, Weipeng; Shen, Chao; Li, Qi; Wang, Qian; Lin, Chenhao; Guan, Xiaohong",2025,ACM Computing Surveys,"String A, String B"
177,DeepREST: Automated Test Case Generation for REST APIs Exploiting Deep Reinforcement Learning,"Corradini, Davide; Montolli, Zeno; Pasqua, Michele; Ceccato, Mariano",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,"String A, String B, String C"
178,Demystifying LLM-Based Software Engineering Agents,"Xia, Chunqiu Steven; Deng, Yinlin; Dunn, Soren; Zhang, Lingming",2025,Proceedings of the ACM on Software Engineering,"String A, String B"
179,Demystifying React Native Android Apps for Static Analysis,"Liu, Yonghui; Chen, Xiao; Liu, Pei; Samhi, Jordan; Grundy, John; Chen, Chunyang; Li, Li",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B"
180,Demystifying and Detecting Misuses of Deep Learning APIs,"Wei, Moshi; Harzevili, Nima Shiri; Huang, Yuekai; Yang, Jinqiu; Wang, Junjie; Wang, Song",2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,String A
181,DepFuzz: Efficient Smart Contract Fuzzing with Function Dependence Guidance,"Ma, Chenyang; Song, Wei; Huang, Jeff",2025,Proceedings of the ACM on Programming Languages,"String A, String B"
182,Designing PairBuddy—A Conversational Agent for Pair Programming,"Robe, Peter; Kuttal, Sandeep Kaur",2022,ACM Transactions on Computer-Human Interaction,"String A, String B"
183,Detecting Code Smells using ChatGPT: Initial Insights,"Silva, Luciana Lourdes; Silva, Janio Rosa Da; Montandon, Joao Eduardo; Andrade, Marcus; Valente, Marco Tulio",2024,Proceedings of the 18th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,String A
184,"Detecting, Creating, Repairing, and Understanding Indivisible Multi-Hunk Bugs","Xin, Qi; Wu, Haojun; Tang, Jinran; Liu, Xinyu; Reiss, Steven P.; Xuan, Jifeng",2024,Proceedings of the ACM on Software Engineering,String A
185,Developing Critical Thinking with AI Coding Assistants: An Educational Experience focusing on Testing and Legacy Code,"Blasquez, Isabelle",2025,Proceedings of the 30th ACM Conference on Innovation and Technology in Computer Science Education V. 1,String A
186,Development and Utilization of AI-Enabled Automatic Programming Problem Generator Using the CodeRunner Plugin of Moodle,"Serato, Jay Vince Donoso; Sta. Romana, Cherry Lyn",2024,Proceedings of the 2024 10th International Conference on Education and Training Technologies,String A
187,DiaVio: LLM-Empowered Diagnosis of Safety Violations in ADS Simulation Testing,"Lu, You; Tian, Yifan; Bi, Yuyang; Chen, Bihuan; Peng, Xin",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A
188,Directed Real-time Linux Fuzzing with Configuration Awareness,"Shen, Yuheng; Liu, Jianzhong; Chen, Yuhan; Zhang, Qiang; Wang, Runzhe; Shi, Heyuan; Jiang, Yu",2025,ACM Transactions on Embedded Computing Systems,"String A, String B, String C"
189,DivLog: Log Parsing with Prompt Enhanced In-Context Learning,"Xu, Junjielong; Yang, Ruichun; Huo, Yintong; Zhang, Chengyu; He, Pinjia",2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,"String A, String B"
190,Do Automatic Comment Generation Techniques Fall Short? Exploring the Influence of Method Dependencies on Code Understanding,"Billah, Md Mustakim; Rahman, Md Shamimur; Roy, Banani",2025,Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,String A
191,Doc2OracLL: Investigating the Impact of Documentation on LLM-Based Test Oracle Generation,"Hossain, Soneya Binta; Taylor, Raygan; Dwyer, Matthew",2025,Proceedings of the ACM on Software Engineering,String A
192,Does Every Computer Scientist Need to Know Formal Methods?,"Broy, Manfred; Brucker, Achim D.; Fantechi, Alessandro; Gleirscher, Mario; Havelund, Klaus; Kuppe, Markus Alexander; Mendes, Alexandra; Platzer, André; Ringert, Jan Oliver; Sullivan, Allison",2025,Formal Aspects of Computing,String A
193,Domain Adaptation for Code Model-Based Unit Test Case Generation,"Shin, Jiho; Hashtroudi, Sepehr; Hemmati, Hadi; Wang, Song",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,"String A, String B, String C"
194,Drowzee: Metamorphic Testing for Fact-Conflicting Hallucination Detection in Large Language Models,"Li, Ningke; Li, Yuekang; Liu, Yi; Shi, Ling; Wang, Kailong; Wang, Haoyu",2024,Proceedings of the ACM on Programming Languages,String A
195,EPSC: Testing Database Management Systems via Equivalent Prepared Statement Construction,"Zhang, Chi; Liang, Jie; Wu, Zhiyong; Shi, Dalong; Wang, Linzhang; Jiang, Yu",2026,Proceedings of the ACM on Management of Data,String A
196,EffFix: Efficient and Effective Repair of Pointer Manipulating Programs,"Zhang, Yuntong; Costea, Andreea; Shariffdeen, Ridwan; McCall, Davin; Roychoudhury, Abhik",2025,ACM Transactions on Software Engineering and Methodology,String B
197,Effective On-Hardware Fuzzing of Embedded Operating Systems,"Shen, Yuheng; Liu, Jianzhong; Guo, Qiming; Chu, Yifei; Zhang, Qiang; Shi, Heyuan; Jiang, Yu",2026,Proceedings of the 21st European Conference on Computer Systems,String B
198,"Effective, Platform-Independent GUI Testing via Image Embedding and Reinforcement Learning","Yu, Shengcheng; Fang, Chunrong; Li, Xin; Ling, Yuchen; Chen, Zhenyu; Su, Zhendong",2024,ACM Transactions on Software Engineering and Methodology,String B
199,Efficient Directed Hybrid Fuzzing via Target-Centric Seed Selection and Generation,"Li, Zhen; Liu, Shenghan; Yi, Qiuping; Du, Pengbo; Liang, Hongliang",2026,Proceedings of the ACM on Programming Languages,"String A, String B"
200,"Efficient and Green Large Language Models for Software Engineering: Literature Review, Vision, and the Road Ahead","Shi, Jieke; Yang, Zhou; Lo, David",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B"
201,Efficient and Robust Security-Patch Localization for Disclosed OSS Vulnerabilities with Fine-Tuned LLMs in an Industrial Setting,"Ran, Dezhi; Li, Lin; Zhu, Liuchuan; Cao, Yuan; Zhao, Landelong; Tan, Xin; Liang, Guangtai; Wang, Qianxiang; Xie, Tao",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String A
202,Emerging Compiler Testing Based on Test Case Reuse,"Zhu, Kelin; Wang, Yu; Wang, Linzhang; Li, Xuandong",2025,Proceedings of the 16th International Conference on Internetware,"String A, String B, String C"
203,Enabling Cost-Effective UI Automation Testing with Retrieval-Based LLMs: A Case Study in WeChat,"Feng, Sidong; Lu, Haochuan; Jiang, Jianqin; Xiong, Ting; Huang, Likun; Liang, Yinglin; Li, Xiaoqin; Deng, Yuetang; Aleti, Aldeida",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,String A
204,Engaging Developers in Exploratory Unit Testing through Gamification,"Straubinger, Philipp; Fraser, Gordon",2024,"Proceedings of the 3rd ACM International Workshop on Gamification in Software Development, Verification, and Validation","String A, String B"
205,Enhanced Web Testing with LLMs: A Research Roadmap,"Wang, Weizhe; Guo, Zhenqi; Yan, Qingyang; Yang, Zenghao; Zhang, Yao; Xu, Guangquan; Li, Xiaoming; Wu, Bin",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B"
206,Enhancing APR with PRISM: A Semantic-Based Approach to Overfitting Patch Detection,"Song, Dowon; Oh, Hakjoo",2025,Proceedings of the ACM on Programming Languages,"String A, String B"
207,Enhancing Automated Unit Test Generation with Large Language Models: A Systematic Literature Review,"Zhang, Junwei; Hu, Xing; Gao, Cuiyun; Xia, Xin; Li, Shanping",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B, String C"
208,Enhancing Differential Testing with LLMs for Testing Deep Learning Libraries,"Li, Meiziniu; Li, Dongze; Liu, Jianmeng; Cao, Jialun; Tian, Yongqiang; Cheung, Shing-Chi",2026,ACM Transactions on Software Engineering and Methodology,String B
209,Enhancing Human-IDE Interaction in the SDLC using LLM-based Mediator Agents,"Li, Ziyou; Izadi, Maliheh",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String B
210,Enhancing REST API Testing with NLP Techniques,"Kim, Myeongsoo; Corradini, Davide; Sinha, Saurabh; Orso, Alessandro; Pasqua, Michele; Tzoref-Brill, Rachel; Ceccato, Mariano",2023,Proceedings of the 32nd ACM SIGSOFT International Symposium on Software Testing and Analysis,"String A, String B, String C"
211,Enhancing Web Accessibility: Automated Detection of Issues with Generative AI,"He, Ziyao; Huq, Syed Fatiul; Malek, Sam",2025,Proceedings of the ACM on Software Engineering,String B
212,Enhancing the Efficiency of Automated Program Repair via Greybox Analysis,"Kim, YoungJae; Park, Yechan; Han, Seungheon; Yi, Jooyong",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,"String A, String B, String C"
213,Enhancing the Resiliency of Automated Web Tests with Natural Language,"Ayli, Maroun; Bakouny, Youssef; Jalloul, Nader; Kilany, Rima",2024,"Proceedings of the 2024 4th International Conference on Artificial Intelligence, Automation and Algorithms",String A
214,Evaluating API-Level Deep Learning Fuzzers: A Comprehensive Benchmarking Study,"Harzevili, Nima Shiri; Wei, Moshi; Mohajer, Mohammad Mahdi; Pham, Hung Viet; Wang, Song",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B, String C"
215,Evaluating Capabilities and Perspectives of Generative AI Tools in Smart Contract Development,"Khalid, Shawal; Brown, Chris",2025,Proceedings of the 7th ACM International Symposium on Blockchain and Secure Critical Infrastructure,String B
216,Evaluating LLM-based Agents for Multi-turn Conversations: A Survey,"Guan, Shengyue; Wang, Jindong; Bian, Jiang; Zhu, Bin; Lou, Jian-Guang; Xiong, Haoyi",2026,ACM Transactions on Intelligent Systems and Technology,String A
217,Evaluating Large Language Models in Class-Level Code Generation,"Du, Xueying; Liu, Mingwei; Wang, Kaixin; Wang, Hanlin; Liu, Junwei; Chen, Yixuan; Feng, Jiayi; Sha, Chaofeng; Peng, Xin; Lou, Yiling",2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,"String A, String B"
218,Evaluating and Improving ChatGPT for Unit Test Generation,"Yuan, Zhiqiang; Liu, Mingwei; Ding, Shiji; Wang, Kaixin; Chen, Yixuan; Peng, Xin; Lou, Yiling",2024,Proceedings of the ACM on Software Engineering,"String A, String B, String C"
219,Evaluating the Complex Reasoning and Performance Capabilities of Large Language Models for Test Case Generation: A Learning-Based Software Testing Suite for Benchmarking Generative AI in Automated Test Case Generation,"Bala Mahalingam, Vijay; Parthasarathy, Harish; Baskaran, Aakash; Chandrasekaran, Bharath; Rajeshkumar, Muthukrishnan",2026,Proceedings of the 2026 10th International Conference on Control Engineering and Artificial Intelligence,"String A, String B, String C"
220,Evaluating the Ethical Judgment of Large Language Models in Financial Market Abuse Cases,"Pandey, Avinash Kumar; Rajwal, Swati",2025,Proceedings of the 6th ACM International Conference on AI in Finance,String A
221,Evaluation of Automatic Test Case Generation for the Android Operating System using Deep Reinforcement Learning,"Cardoso, Ana Paula; Santos, Cleicy Priscilla; Collins, Eliane; Lima, Kelen; Quiroga, Pablo; Griego, Marlon",2023,Proceedings of the XXII Brazilian Symposium on Software Quality,String A
222,Ever-Improving Test Suite by Leveraging Large Language Models,"Qiu, Ketai",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String A
223,Every Maintenance Has Its Exemplar: The Future of Software Maintenance through Migration,"Chen, Zirui; Hu, Xing; Xia, Xin; Yang, Xiaohu",2026,ACM Transactions on Software Engineering and Methodology,String A
224,EvoCLINICAL: Evolving Cyber-Cyber Digital Twin with Active Transfer Learning for Automated Cancer Registry System,"Lu, Chengjie; Xu, Qinghua; Yue, Tao; Ali, Shaukat; Schwitalla, Thomas; Nygård, Jan F.",2023,Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,String A
225,Evolving Enactions of Expertise: Software Engineers’ Evaluation and Demonstration of Coding Expertise with AI Coding Assistants,"Jang, Yeonju; Sakashita, Mose; Niinuma, Koichiro; Gupta, Aakar",2026,Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,String A
226,"Evolving Paradigms in Automated Program Repair: Taxonomy, Challenges, and Opportunities","Huang, Kai; Xu, Zhengzi; Yang, Su; Sun, Hongyu; Li, Xuejun; Yan, Zheng; Zhang, Yuqing",2025,ACM Computing Surveys,"String A, String B"
227,Examining the Use and Impact of an AI Code Assistant on Developer Productivity and Experience in the Enterprise,"Weisz, Justin D.; Kumar, Shraddha Vijay; Muller, Michael; Browne, Karen-Ellen; Goldberg, Arielle; Heintze, Katrin Ellice; Bajpai, Shagun",2025,Proceedings of the Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,String A
228,Examples out of Thin Air: AI-Generated Dynamic Context to Assist Program Comprehension by Example,"Mattis, Toni; Krebs, Eva; Rinard, Martin C.; Hirschfeld, Robert",2024,"Companion Proceedings of the 8th International Conference on the Art, Science, and Engineering of Programming",String A
229,Exploring Automated Assertion Generation via Large Language Models,"Zhang, Quanjun; Sun, Weifeng; Fang, Chunrong; Yu, Bowen; Li, Hongyan; Yan, Meng; Zhou, Jianyi; Chen, Zhenyu",2025,ACM Transactions on Software Engineering and Methodology,String A
230,Exploring Code Analysis: Zero-Shot Insights on Syntax and Semantics with LLMs,"Ma, Wei; Lin, Zhihao; Liu, Shangqing; Hu, Qiang; Liu, Ye; Wang, Wenhan; Zhang, Cen; Nie, Liming; Li, Li; Liu, Yang; Jiang, Lingxiao",2026,ACM Transactions on Software Engineering and Methodology,String B
231,Exploring Large Language Models in Resolving Environment-Related Crash Bugs: Localizing and Repairing,"Du, Xueying; Liu, Mingwei; Wang, Hanlin; Li, Juntao; Peng, Xin; Lou, Yiling",2026,ACM Transactions on Software Engineering and Methodology,String A
232,Exploring and Unleashing the Power of Large Language Models in Automated Code Translation,"Yang, Zhen; Liu, Fang; Yu, Zhongxing; Keung, Jacky Wai; Li, Jia; Liu, Shuo; Hong, Yifan; Ma, Xiaoxue; Jin, Zhi; Li, Ge",2024,Proceedings of the ACM on Software Engineering,"String A, String B, String C"
233,Extraction and Mutation at a High Level: Template-Based Fuzzing for JavaScript Engines,"Wong, Wai Kin; Xiao, Dongwei; Lai, Cheuk Tung; Peng, Yiteng; Wu, Daoyuan; Wang, Shuai",2025,Proceedings of the ACM on Programming Languages,String A
234,FAIL: Analyzing Software Failures from the News Using LLMs,"Anandayuvaraj, Dharun; Campbell, Matthew; Tewari, Arav; Davis, James C",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,String B
235,FURINA: A Multi-Agent Framework for Automated Patch Correctness Assessment,"Li, Yuning; Ji, Yuanjie; Chen, Xiang; Shen, Zongwen; Ge, Jidong; Luo, Bin",2026,ACM Transactions on Software Engineering and Methodology,String A
236,Face: A framework for ai-driven coding generation evaluation,"Ngo, Bao; Formato, Jack; May, James J.; Ho, Nguyen; Bui, Hoang; Ngo, Linh B.",2024,Journal of Computing Sciences in Colleges,String B
237,Fairness Testing: A Comprehensive Survey and Analysis of Trends,"Chen, Zhenpeng; Zhang, Jie M.; Hort, Max; Harman, Mark; Sarro, Federica",2024,ACM Transactions on Software Engineering and Methodology,String A
238,Fault Localization from the Semantic Code Search Perspective,"Qin, Yihao; Wang, Shangwen; Lei, Yan; Zhang, Zhuo; Lin, Bo; Peng, Xin; Ma, Jun; Chen, Liqian; Mao, Xiaoguang",2026,ACM Transactions on Software Engineering and Methodology,String B
239,Finding Missed Code Size Optimizations in Compilers using Large Language Models,"Italiano, Davide; Cummins, Chris",2025,Proceedings of the 34th ACM SIGPLAN International Conference on Compiler Construction,"String A, String B"
240,Finding and Investigating Buggy Codes to Make CS1 Learning Efficient,"Agarwal, Nimisha",2024,Proceedings of the 17th Innovations in Software Engineering Conference,String A
241,Flowco: Mixed-Initiative Authoring of Reliable End-to-End Data Analyses via Dataflow Graphs and LLMs,"Freund, Stephen N.; Simon, Brooke; Berger, Emery D.; Jun, Eunice",2025,Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology,String A
242,FreeWavm: Enhanced WebAssembly Runtime Fuzzing Guided by Parse Tree Mutation and Snapshot,"Qian, Peng; Ying, Xinlei; Wang, Jiashui; Liu, Long; Zhang, Lun; Chen, Jianhai; He, Qinming",2025,Proceedings of the ACM on Software Engineering,String B
243,From Black Box to Learning Artifact: A Proposed Pedagogical Redesign of AI Coding Assistants for Novice Programmers,"Prasad, Prajish; Sane, Aamod; Chitkulwar, Shivkiran",2026,Proceedings of the Extended Abstracts of the 2026 CHI Conference on Human Factors in Computing Systems,String A
244,From Correctness to Code Quality: Formalizing Software Engineering Metrics for Evaluating General LLMs,"Umre, Jayesh; Parihar, Ashish Singh; Gupta, Atul",2026,Proceedings of the 19th Innovations in Software Engineering Conference,String A
245,From Fine-tuning to Output: An Empirical Investigation of Test Smells in Transformer-Based Test Code Generation,"Aljohani, Ahmed; Do, Hyunsook",2024,Proceedings of the 39th ACM/SIGAPP Symposium on Applied Computing,"String A, String B"
246,From Legal Text to Tech Specs: Generative AI’s Interpretation of Consent in Privacy Law,"Kesari, Aniket; Breaux, Travis; Santos, Sarah; Norton, Tom; Singhal, Anmol",2025,Proceedings of the Twentieth International Conference on Artificial Intelligence and Law,String A
247,From Prompts to Properties: Rethinking LLM Code Generation with Property-Based Testing,"Bose, Dibyendu Brinto",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,"String A, String B"
248,From Prompts to Templates: A Systematic Prompt Template Analysis for Real-world LLMapps,"Mao, Yuetian; He, Junjie; Chen, Chunyang",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String A
249,From Scenario to Code: Structured Prompting for LLM-Based Unit Test Generation,"Diop, Aminata; Toure, Fadel; Badri, Mourad",2025,Proceedings of the 2025 7th World Symposium on Software Engineering,"String A, String B, String C"
250,From Stochastic to Semantic: Advanced Attribute-Guided Compiler Testing,"Wu, Jiangchang; Yang, Yibiao; Sun, Maolin; Li, Qingyang; Chen, Kang; Xu, Lei; Zhou, Yuming",2026,ACM Transactions on Software Engineering and Methodology,String B
251,From Today’s Code to Tomorrow’s Symphony: The AI Transformation of Developer’s Routine by 2030,"Qiu, Ketai; Puccinelli, Niccolò; Ciniselli, Matteo; Di Grazia, Luca",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B"
252,From Triumph to Uncertainty: The Journey of Software Engineering in the AI Era,"Mastropaolo, Antonio; Escobar-Velásquez, Camilo; Linares-Vásquez, Mario",2025,ACM Transactions on Software Engineering and Methodology,String A
253,Fuzz Testing for Polymorphic Network Firmware: A Collaborative Optimization Framework of LLMs and Neural Networks,"Qian, Ben; Gu, Yunjie; Wu, Changhe; Mu, Yuan; Sun, Xuan",2025,Proceedings of the ACM Conext-2025 Workshop on the Polymorphic Network,"String A, String B, String C"
254,Fuzz4All: Universal Fuzzing with Large Language Models,"Xia, Chunqiu Steven; Paltenghi, Matteo; Le Tian, Jia; Pradel, Michael; Zhang, Lingming",2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,"String A, String B"
255,Fuzzing C++ Compilers via Type-Driven Mutation,"Wang, Bo; Chen, Chong; Deng, Ming; Chen, Junjie; Zhang, Xing; Lin, Youfang; Hao, Dan; Sun, Jun",2025,Proceedings of the ACM on Programming Languages,String B
256,Fuzzing JavaScript Interpreters with Coverage-Guided Reinforcement Learning for LLM-Based Mutation,"Eom, Jueon; Jeong, Seyeon; Kwon, Taekyoung",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String B
257,Fuzzing Microservices in Face of Intrinsic Uncertainties,"Zhang, Man; Yue, Tao; Arcuri, Andrea",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B"
258,Fuzzing for Stateful Protocol Programs Based on Constraints between States and Message Types,"Jian, Kunpeng; Zou, Yanyan; Li, Menghao; Huo, Wei",2025,Proceedings of the 16th International Conference on Internetware,String B
259,GUI Test Migration via Abstraction and Concretization,"Zhang, Yakun; Liu, Chen; Xie, Xiaofei; Lin, Yun; Dong, Jin Song; Hao, Dan; Zhang, Lu",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B, String C"
260,Generating Software Tests for Mobile Applications Using Fine-Tuned Large Language Models,"Hoffmann, Jacob; Frister, Demian",2024,Proceedings of the 5th ACM/IEEE International Conference on Automation of Software Test (AST 2024),String B
261,Generative AI for Self-Adaptive Systems: State of the Art and Research Roadmap,"Li, Jialong; Zhang, Mingyue; Li, Nianyu; Weyns, Danny; Jin, Zhi; Tei, Kenji",2024,ACM Transactions on Autonomous and Adaptive Systems,String A
262,GenieWizard: Multimodal App Feature Discovery with Large Language Models,"Yang, Jackie (Junrui); Shi, Yingtian; Gu, Chris; Zheng, Zhang; Jain, Anisha; Li, Tianshi; Lam, Monica S.; Landay, James A.",2025,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,String A
263,Grey-Box Fuzzing in Constrained Ultra-Large Systems: Lessons for SE Community,"Yu, Jiazhao; Tu, Yanlun; Zhang, Zhanlei; Zhang, Tiehua; Xu, Cheng; Wu, Weigang; Kang, Hong Jin; Zheng, Xi",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,"String A, String B, String C"
264,GrowthHacker: Automated Off-Policy Evaluation Optimization Using Code-Modifying LLM Agents,"Wu, Jie Jw; Herlihy, Ayanda Patrick; Mirza, Ahmad Saleem; Afoud, Ali; Fard, Fatemeh",2026,ACM Transactions on Software Engineering and Methodology,String B
265,GuardRails: Automated Suggestions for Clarifying Ambiguous Purpose Statements,"Pawagi, Mrigank; Kumar, Viraj",2023,Proceedings of the 16th Annual ACM India Compute Conference,String B
266,HITS: High-coverage LLM-based Unit Test Generation via Method Slicing,"Wang, Zejun; Liu, Kaibo; Li, Ge; Jin, Zhi",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,"String A, String B, String C"
