id,title,authors,year,venue,search_strings
76,Artificial Intelligence for Software Engineering: The Journey So Far and the Road Ahead,"Ahmed, Iftekhar; Aleti, Aldeida; Cai, Haipeng; Chatzigeorgiou, Alexander; He, Pinjia; Hu, Xing; Pezzè, Mauro; Poshyvanyk, Denys; Xia, Xin",2025,ACM Transactions on Software Engineering and Methodology,String A
77,Artificial intelligence tools in code quality analysis:A systematic review,"Felix, Taina G. C.; Brito, Jean C. De S.; Da Silva, Jorge A. P.; De Aguiar, Phelipe M. C.; Bezerra, Erick C.",2026,Proceedings of the 2026 18th International Conference on Computer Research and Development,String A
78,Assertion Messages with Large Language Models (LLMs) for Code,"Aljohani, Ahmed; Mollah, Anamul Haque; Do, Hyunsook",2025,Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,String A
79,Assessing ChatGPT’s Code Generation Capabilities with Short vs Long Context Programming Problems,"Shuvo, Uddip Acharjee; Dip, Sajib Acharjee; Vaskar, Nirvar Roy; Al Islam, A. B. M. Alim",2024,"Proceedings of the 11th International Conference on Networking, Systems, and Security",String A
80,Assessing and Advancing Benchmarks for Evaluating Large Language Models in Software Engineering Tasks,"Hu, Xing; Niu, Feifei; Chen, Junkai; Zhou, Xin; Zhang, Junwei; He, Junda; Xia, Xin; Lo, David",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B, String C"
81,Assessing the Robustness of Test Selection Methods for Deep Neural Networks,"Hu, Qiang; Guo, Yuejun; Xie, Xiaofei; Cordy, Maxime; Ma, Wei; Papadakis, Mike; Ma, Lei; Le Traon, Yves",2025,ACM Transactions on Software Engineering and Methodology,String B
82,AutoBench: Automatic Testbench Generation and Evaluation Using LLMs for HDL Design,"Qiu, Ruidi; Zhang, Grace Li; Drechsler, Rolf; Schlichtmann, Ulf; Li, Bing",2024,Proceedings of the 2024 ACM/IEEE International Symposium on Machine Learning for CAD,"String A, String B"
83,AutoCodeRover: Autonomous Program Improvement,"Zhang, Yuntong; Ruan, Haifeng; Fan, Zhiyu; Roychoudhury, Abhik",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A
84,AutoConsis: Automatic GUI-driven Data Inconsistency Detection of Mobile Apps,"Hu, Yongxiang; Jin, Hailiang; Wang, Xuan; Gu, Jiazhen; Guo, Shiyu; Chen, Chaoyi; Wang, Xin; Zhou, Yangfan",2024,Proceedings of the 46th International Conference on Software Engineering: Software Engineering in Practice,String A
85,AutoTestForge: A Multidimensional Automated Testing Framework for Natural Language Processing Models,"Xing, Hengrui; Tian, Cong; Zhao, Liang; Ma, Zhi; Wang, Wensheng; Zhang, Nan; Huang, Chao; Duan, Zhenhua",2025,ACM Transactions on Software Engineering and Methodology,String A
86,Automated Assessment in Computer Science Education: A State-of-the-Art Review,"Paiva, José Carlos; Leal, José Paulo; Figueira, Álvaro",2022,ACM Transactions on Computing Education,String B
87,Automated Discovery of Test Oracles for Database Management Systems Using LLMs,"Mang, Qiuyang; He, Runyuan; Zhong, Suyang; Liu, Xiaoxuan; Zhang, Huanchen; Cheung, Alvin",2026,Proceedings of the ACM on Management of Data,"String A, String B, String C"
88,Automated Fairness Testing with Representative Sampling,"Karakas, Umutcan; Tosun, Ayse",2023,Proceedings of the 19th International Conference on Predictive Models and Data Analytics in Software Engineering,String A
89,Automated Generation and Compilation of Fuzz Driver Based on Large Language Models,"Sun, Yuxuan",2024,Proceedings of the 2024 9th International Conference on Cyber Security and Information Engineering,String A
90,Automated Generation of Code Contracts: Generative AI to the Rescue?,"Greiner, Sandra; Bühlmann, Noah; Ohrndorf, Manuel; Tsigkanos, Christos; Nierstrasz, Oscar; Kehrer, Timo",2024,Proceedings of the 23rd ACM SIGPLAN International Conference on Generative Programming: Concepts and Experiences,String A
91,Automated Grading and Feedback Tools for Programming Education: A Systematic Review,"Messer, Marcus; Brown, Neil C. C.; Kölling, Michael; Shi, Miaojing",2024,ACM Transactions on Computing Education,String B
92,Automated Model-Based Fuzzing for 5G O-RAN,"Tan, Sixu; Li, Zeyu; Liu, Zhutian; Patel, Harsh; Tan, Zhaowei",2025,Proceedings of the 31st Annual International Conference on Mobile Computing and Networking,"String A, String B, String C"
93,Automated Program Repair via Conversation: Fixing 162 out of 337 Bugs for $0.42 Each using ChatGPT,"Xia, Chunqiu Steven; Zhang, Lingming",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A
94,Automated Prompt Engineering for Cost-Effective Code Generation Using Evolutionary Algorithms,"Taherkhani, Hamed; Sepidband, Melika; Pham, Hung Viet; Wang, Song; Hemmati, Hadi",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B"
95,Automated Test Generation for Medical Rules Web Services: A Case Study at the Cancer Registry of Norway,"Laaber, Christoph; Yue, Tao; Ali, Shaukat; Schwitalla, Thomas; Nygård, Jan F.",2023,Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,"String A, String B"
96,Automated Testing Linguistic Capabilities of NLP Models,"Lee, Jaeseong; Chen, Simin; Mordahl, Austin; Liu, Cong; Yang, Wei; Wei, Shiyi",2024,ACM Transactions on Software Engineering and Methodology,"String A, String B"
97,Automated Testing of COBOL to Java Transformation,"Hans, Sandeep; Kumar, Atul; Yasue, Toshiaki; Ono, Kouichi; Krishnan, Saravanan; Sondhi, Devika; Satoh, Fumiko; Mitchell, Gerald; Kumar, Sachin; Saha, Diptikalyan",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,"String A, String B, String C"
98,Automated Unit Test Generation via Chain-of-Thought Prompt and Reinforcement Learning from Coverage Feedback,"Zhang, Junwei; Hu, Xing; Xia, Xin; Cheung, Shing-Chi; Li, Shanping",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B, String C"
99,Automated Unit Test Improvement using Large Language Models at Meta,"Alshahwan, Nadia; Chheda, Jubin; Finogenova, Anastasia; Gokkaya, Beliz; Harman, Mark; Harper, Inna; Marginean, Alexandru; Sengupta, Shubho; Wang, Eddy",2024,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering,String B
