sample_index,class_key,project,repo_id,focal_class,focal_path,module,scope_key,build_tool,java_version,complexity_half,nloc,token_count,method_count,public_method_count,max_method_cc,sum_method_cc,avg_method_cc,selection_rank_in_repo,original_manifest_index,split_name,evosuite_branch_coverage,gpt_branch_coverage,evosuite_compilation,gpt_compilation,evosuite_line_coverage,gpt_line_coverage,evosuite_method_coverage,gpt_method_coverage,evosuite_mutation_coverage,gpt_mutation_coverage,evosuite_strict_branch_coverage,gpt_strict_branch_coverage,evosuite_strict_line_coverage,gpt_strict_line_coverage,evosuite_strict_method_coverage,gpt_strict_method_coverage,evosuite_strict_mutation_coverage,gpt_strict_mutation_coverage,strict_mutation_diff_gpt_minus_evosuite,rq4_wilcoxon_shifted_value,strict_branch_diff_gpt_minus_evosuite
12,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/scheduler/periodicjobtrigger.java,3847504,3847504,PeriodicJobTrigger,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/scheduler/PeriodicJobTrigger.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,104,706,19,11,9,35,1.8421052631578947,9,255,remaining240,93.75,,1,0,98.46,,100.0,,33.33,,93.75,0.0,98.46,0.0,100.0,0.0,33.33,0.0,-33.33,-28.33,-93.75
13,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/security/siteadminimpl.java,3847504,3847504,SiteAdminImpl,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/security/SiteAdminImpl.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,157,1267,11,10,12,36,3.272727272727273,3,269,remaining240,70.83,,1,0,76.6,,100.0,,17.95,,70.83,0.0,76.6,0.0,100.0,0.0,17.95,0.0,-17.95,-12.95,-70.83
14,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/pageletrendererimpl.java,3847504,3847504,PageletRendererImpl,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/PageletRendererImpl.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,313,2459,23,19,22,81,3.5217391304347827,6,295,remaining240,64.13,,1,0,51.17,,82.61,,20.0,,64.13,0.0,51.17,0.0,82.61,0.0,20.0,0.0,-20.0,-15.0,-64.13
15,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/url/weburlimpl.java,3847504,3847504,WebUrlImpl,modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/url/WebUrlImpl.java,modules/weblounge-common,maven:modules/weblounge-common,Maven,1.7,higher_complexity_half,278,2123,23,15,23,89,3.869565217391304,8,296,remaining240,86.07,,1,0,84.07,,95.83,,24.32,,86.07,0.0,84.07,0.0,95.83,0.0,24.32,0.0,-24.32,-19.32,-86.07
16,39195736:sonar-jproperties-plugin/src/main/java/org/sonar/plugins/jproperties/javapropertiesplugin.java,39195736,39195736,JavaPropertiesPlugin,sonar-jproperties-plugin/src/main/java/org/sonar/plugins/jproperties/JavaPropertiesPlugin.java,sonar-jproperties-plugin,maven:sonar-jproperties-plugin,Maven,1.8,lower_complexity_half,13,61,1,1,1,1,1.0,4,5,remaining240,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
17,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/toomanykeyscheck.java,39195736,39195736,TooManyKeysCheck,jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/TooManyKeysCheck.java,jproperties-checks,maven:jproperties-checks,Maven,1.8,lower_complexity_half,53,379,3,2,2,4,1.3333333333333333,10,51,remaining240,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
18,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/keynamingconventioncheck.java,39195736,39195736,KeyNamingConventionCheck,jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/KeyNamingConventionCheck.java,jproperties-checks,maven:jproperties-checks,Maven,1.8,lower_complexity_half,52,344,4,2,2,6,1.5,3,59,remaining240,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
19,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/linelengthcheck.java,39195736,39195736,LineLengthCheck,jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/LineLengthCheck.java,jproperties-checks,maven:jproperties-checks,Maven,1.8,lower_complexity_half,70,485,6,3,4,9,1.5,5,131,remaining240,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
20,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/commentconventioncheck.java,39195736,39195736,CommentConventionCheck,jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/CommentConventionCheck.java,jproperties-checks,maven:jproperties-checks,Maven,1.8,lower_complexity_half,61,441,5,3,4,10,2.0,9,136,remaining240,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
21,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/duplicatedvaluescheck.java,39195736,39195736,DuplicatedValuesCheck,jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/DuplicatedValuesCheck.java,jproperties-checks,maven:jproperties-checks,Maven,1.8,lower_complexity_half,101,771,9,3,4,17,1.8888888888888888,7,149,remaining240,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
