sample_index,class_key,project,repo_id,focal_class,module,complexity_half,gpt_strict_mutation_coverage,evosuite_strict_mutation_coverage,strict_mutation_diff_gpt_minus_evosuite,rq4_wilcoxon_shifted_value
31,41547678:turin-compiler/src/main/java/me/tomassetti/turin/parser/ast/turintypedefinition.java,41547678,41547678,TurinTypeDefinition,turin-compiler,higher_complexity_half,0.0,17.65,-17.65,-12.649999999999999
32,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/singlenumber/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board,lower_complexity_half,100.0,0.0,100.0,105.0
33,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/invertbinarytree/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board,lower_complexity_half,0.0,0.0,0.0,5.0
34,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/maximumdepthofbinarytree/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board,lower_complexity_half,100.0,0.0,100.0,105.0
35,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/battleship/parser.java,41627638,41627638,Parser,leetcode/battleships-in-a-board,lower_complexity_half,0.0,0.0,0.0,5.0
36,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/wordladder/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board,higher_complexity_half,0.0,0.0,0.0,5.0
37,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/movezeroes/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board,higher_complexity_half,100.0,0.0,100.0,105.0
38,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/reverselinkedlist/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board,higher_complexity_half,100.0,0.0,100.0,105.0
39,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/islandperimeter/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board,higher_complexity_half,0.0,0.0,0.0,5.0
40,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/user/blacklists.java,43105609,43105609,BlackLists,weixin-mp,lower_complexity_half,0.0,0.0,0.0,5.0
41,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/user/users.java,43105609,43105609,Users,weixin-mp,lower_complexity_half,0.0,11.76,-11.76,-6.76
42,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/menu/menus.java,43105609,43105609,Menus,weixin-mp,lower_complexity_half,0.0,6.67,-6.67,-1.67
43,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/user/tags.java,43105609,43105609,Tags,weixin-mp,lower_complexity_half,0.0,0.0,0.0,5.0
44,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/card/cards.java,43105609,43105609,Cards,weixin-mp,higher_complexity_half,0.0,0.0,0.0,5.0
45,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/message/mpmessages.java,43105609,43105609,MpMessages,weixin-mp,higher_complexity_half,0.0,0.0,0.0,5.0
46,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/jsapi/jsapis.java,43105609,43105609,JsAPIs,weixin-mp,higher_complexity_half,0.0,0.0,0.0,5.0
47,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/message/mpxmlmessages.java,43105609,43105609,MpXmlMessages,weixin-mp,higher_complexity_half,0.0,0.0,0.0,5.0
48,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/server/response/terminateexecution.java,44308560,44308560,TerminateExecution,src/RobotFrameworkCore/org.robotframework.ide.core-functions,lower_complexity_half,0.0,0.0,0.0,5.0
49,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/server/response/evaluatecondition.java,44308560,44308560,EvaluateCondition,src/RobotFrameworkCore/org.robotframework.ide.core-functions,lower_complexity_half,0.0,0.0,0.0,5.0
50,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/server/agentserverversionschecker.java,44308560,44308560,AgentServerVersionsChecker,src/RobotFrameworkCore/org.robotframework.ide.core-functions,lower_complexity_half,0.0,0.0,0.0,5.0
51,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/agent/event/resourceimportevent.java,44308560,44308560,ResourceImportEvent,src/RobotFrameworkCore/org.robotframework.ide.core-functions,lower_complexity_half,0.0,0.0,0.0,5.0
52,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/environment/pythonversion.java,44308560,44308560,PythonVersion,src/RobotFrameworkCore/org.robotframework.ide.core-functions,lower_complexity_half,0.0,0.0,0.0,5.0
53,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/agent/event/suiteendedevent.java,44308560,44308560,SuiteEndedEvent,src/RobotFrameworkCore/org.robotframework.ide.core-functions,higher_complexity_half,0.0,0.0,0.0,5.0
54,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/debug/contexts/executablecallcontext.java,44308560,44308560,ExecutableCallContext,src/RobotFrameworkCore/org.robotframework.ide.core-functions,higher_complexity_half,0.0,0.0,0.0,5.0
55,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/agent/event/versionsevent.java,44308560,44308560,VersionsEvent,src/RobotFrameworkCore/org.robotframework.ide.core-functions,higher_complexity_half,0.0,0.0,0.0,5.0
