timestamp_utc,model_requested,model_returned,duration_sec,prompt_chars,completion_chars,prompt_tokens,completion_tokens,total_tokens,top_p,max_tokens,status,error_type,error_message
2026-07-17T02:51:13+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,6.958,1280,2640,287,587,874,1,2048,OK,,
2026-07-17T02:52:54+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,8.529,4024,2827,928,633,1561,1,2048,OK,,
2026-07-17T02:53:30+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,7.549,1703,2053,370,456,826,1,2048,OK,,
2026-07-17T03:00:42+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,17.851,25016,3935,5675,837,6512,1,2048,OK,,
2026-07-17T03:01:25+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,17.388,13655,4040,3212,919,4131,1,2048,OK,,
2026-07-17T03:02:15+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,32.392,37662,3536,8354,741,9095,1,2048,OK,,
2026-07-17T03:04:39+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,3.572,1379,913,322,200,522,1,2048,OK,,
2026-07-17T03:06:16+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,14.307,2611,4205,505,837,1342,1,2048,OK,,
2026-07-17T03:07:58+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,11.641,3468,3001,901,686,1587,1,2048,OK,,
2026-07-17T03:09:37+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,13.187,17923,4561,3608,975,4583,1,2048,OK,,
2026-07-17T03:10:17+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,11.21,5999,2794,1302,689,1991,1,2048,OK,,
2026-07-17T03:12:28+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,13.071,26484,3568,6020,794,6814,1,2048,OK,,
2026-07-17T03:12:47+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,20.358,20494,3720,4552,832,5384,1,2048,OK,,
2026-07-17T03:14:16+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,10.301,9823,3825,2174,726,2900,1,2048,OK,,
2026-07-17T03:16:18+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,5.47,1238,1138,284,250,534,1,2048,OK,,
2026-07-17T03:16:27+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,10.416,6015,3368,1310,699,2009,1,2048,OK,,
2026-07-17T03:20:05+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,9.99,6317,4923,1272,981,2253,1,2048,OK,,
2026-07-17T03:20:20+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,16.114,19196,4061,4221,917,5138,1,2048,OK,,
2026-07-17T03:20:54+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,8.917,5676,2515,1374,765,2139,1,2048,OK,,
2026-07-17T03:22:45+00:00,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,9.645,14092,3270,3686,804,4490,1,2048,OK,,
