arm,n,source_n,compilation_success_n,compilation_success_rate,branch_coverage_compiled_mean,branch_coverage_compiled_median,branch_coverage_strict_mean,branch_coverage_strict_median,line_coverage_compiled_mean,line_coverage_compiled_median,line_coverage_strict_mean,line_coverage_strict_median,method_coverage_compiled_mean,method_coverage_compiled_median,method_coverage_strict_mean,method_coverage_strict_median,mutation_coverage_compiled_mean,mutation_coverage_compiled_median,mutation_coverage_strict_mean,mutation_coverage_strict_median
evosuite,1,60,1,1.0,,,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
gpt,1,60,1,1.0,,,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
