timestamp_utc,phase,project,module,arm,focal_class,test_class,status,duration_sec,detail
2026-07-17T00:27:51+00:00,baseline_build,37728390,__project_prepare__,,AttributeValue,,START,,Preparing Maven/Gradle reactor before module builds (Maven)
2026-07-17T00:28:00+00:00,baseline_build,37728390,__local_maven_repair__,,,,START,,Installing local Maven repair artifacts/modules
2026-07-17T00:28:10+00:00,baseline_build,37728390,__local_maven_repair__,,,,PASS,9.733,Local Maven repair completed
2026-07-17T00:28:10+00:00,baseline_build,37728390,__project_prepare__,,,,PASS,19.412,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172; Local Maven repair completed
2026-07-17T00:28:10+00:00,baseline_build,37728390,contrib/geomason,,AttributeValue,,START,,Checking clean project/module build before generation (Maven)
2026-07-17T00:28:40+00:00,baseline_build,37728390,contrib/geomason,,AttributeValue,,FAIL,29.635,"ge sim.app.geo.riftland.riftlandData does not exist
[ERROR] /D:/balanced_delivery/balanced_bundle_300/compiledrepos/37728390/contrib/geomason/src/main/java/sim/app/geo/cityMigration/CityMigrationModel.java:[337,37] cannot find symbol
[ERROR]   symbol:   class CityMigrationData
[ERROR]   location: class sim.app.geo.cityMigration.CityMigrationModel
[ERROR] /D:/balanced_delivery/balanced_bundle_300/compiledrepos/37728390/contrib/geomason/src/main/java/sim/app/geo/cityMigration/CityMigrationModel.java:[337,100] cannot find symbol
[ERROR]   symbol:   class CityMigrationData
[ERROR]   location: class sim.app.geo.cityMigration.CityMigrationModel
[ERROR] /D:/balanced_delivery/balanced_bundle_300/compiledrepos/37728390/contrib/geomason/src/main/java/sim/app/geo/cityMigration/CityMigrationModel.java:[342,43] cannot find symbol
[ERROR]   symbol:   class CityMigrationData
[ERROR]   location: class sim.app.geo.cityMigration.CityMigrationModel
[ERROR] /D:/balanced_delivery/balanced_bundle_300/compil"
